Year,Division,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,csRate,runsPA,runsOut,runsWin,cFIP
2025,1,0.373,0.929,0.791,0.818,0.942,1.271,1.639,1.705,0.2,-0.6001448936246805,0.25,0.1677090039547503,0.26257244681234027,13.237749546279492,4.761012956419317
2024,1,0.374,0.95,0.776,0.804,0.92,1.246,1.657,1.74,0.2,-0.6014437383827932,0.248,0.16857146207952056,0.2632218691913966,13.588867879933822,4.2513640731066875
2023,1,0.371,0.955,0.777,0.805,0.919,1.234,1.628,1.751,0.2,-0.5917982115972443,0.254,0.1663387185353347,0.2583991057986222,13.366017699115044,4.2653849902298315
2022,1,0.379,0.982,0.819,0.845,0.959,1.267,1.551,1.785,0.2,-0.5717831713709209,0.272,0.1612171936506025,0.2483915856854605,12.894172887069589,4.243000118686693
2021,1,0.369,1.039,0.808,0.828,0.965,1.253,1.593,1.914,0.2,-0.5411366443189838,0.282,0.1530701476459033,0.2330683221594919,11.727840199750313,4.057578003708593
2025,2,0.377,0.96,0.795,0.821,0.934,1.274,1.726,1.772,0.2,-0.608233431623725,0.224,0.1684045005572264,0.2666167158118625,12.650229357798166,4.6680009778158045
2024,2,0.381,0.906,0.783,0.813,0.921,1.267,1.615,1.708,0.2,-0.6411904777411256,0.229,0.17715251018357953,0.2830952388705628,13.585872792623848,4.647254066285214
2023,2,0.377,0.907,0.786,0.816,0.923,1.249,1.632,1.701,0.2,-0.631058938515367,0.231,0.1747660231787806,0.2780294692576835,13.314663310258023,4.6055458590672815
2022,2,0.39,0.921,0.825,0.854,0.96,1.277,1.537,1.733,0.2,-0.635576362420485,0.236,0.17594352205497665,0.2802881812102425,13.394836272040303,4.681594867757175
2021,2,0.388,0.947,0.814,0.835,0.966,1.235,1.524,1.835,0.2,-0.6355239758807838,0.246,0.17574900746798455,0.2802619879403919,13.124232081911263,4.649911633225907
2025,3,0.381,0.943,0.763,0.812,0.963,1.295,1.673,1.827,0.2,-0.6347753083404567,0.202,0.17172398291750957,0.2798876541702284,13.325581395348838,5.1049890127777315
2024,3,0.379,0.892,0.795,0.819,0.933,1.27,1.611,1.703,0.2,-0.6375485424993613,0.21,0.17453910225413183,0.2812742712496807,14.036440896214268,4.781257987612068
2023,3,0.378,0.897,0.792,0.818,0.926,1.265,1.636,1.715,0.2,-0.637290321297389,0.213,0.17470739272165145,0.28114516064869455,13.844847851639024,4.876299394673707
2022,3,0.39,0.907,0.836,0.865,0.967,1.289,1.527,1.725,0.2,-0.6423173119904638,0.22,0.1763488600216036,0.28365865599523193,13.95392670157068,4.871478226444328
2021,3,0.386,0.965,0.813,0.834,0.978,1.264,1.576,1.948,0.2,-0.6378285308675133,0.231,0.17414417794070858,0.2814142654337567,13.184432859967643,4.749271476598484
