Player,player_id,Team,Conference,SB%,wSB,wGDP,wTEB,Baserunning,EBT,OutsOB,Opportunities,CS,SB,Picked,Year,Division
Kyan Lodice,8881344?year_stat_category_id=15687,Kansas St.,Big 12,0.0,-1.8187046094894064,-0.1843541540327471,-0.1987616270669251,-2.2018203905890785,0.0,0.0,2.0,3.0,0.0,0.0,2025,1
Carter Monda,8891546?year_stat_category_id=15687,Northern Colo.,Summit League,0.0,-0.0288604242806728,0.1658580958156458,-2.29538539321486,-2.1583877216798872,1.0,3.0,8.0,0.0,0.0,0.0,2025,1
Jalen Niles,8878907?year_stat_category_id=15687,Florida A&M,SWAC,0.0,-1.21334429797114,0.2926015767131594,-0.898255402249441,-1.8189981235074213,0.0,1.0,3.0,2.0,0.0,0.0,2025,1
Hunter Smith,8899188?year_stat_category_id=15687,Tarleton St.,WAC,50.0,-0.4289733859297262,-0.1152213462704669,-1.097017029316366,-1.6412117615165591,0.0,1.0,5.0,1.0,1.0,0.0,2025,1
Chris Diaz,9215712?year_stat_category_id=15687,Marist,MAAC,0.0,-0.0104946997384265,-0.1382656155245603,-1.3989875503650318,-1.5477478656280186,0.0,2.0,2.0,0.0,0.0,0.0,2025,1
Tyler Jones,9094717?year_stat_category_id=15687,George Washington,Atlantic 10,0.0,-0.6132313363220865,-0.03456640388114,-0.7988745887159785,-1.4466723289192052,0.0,1.0,2.0,1.0,0.0,1.0,2025,1
Dom Krupinski,9218724?year_stat_category_id=15687,Miami (OH),MAC,0.0,-0.623726036060513,-0.1152213462704669,-0.6976362157829036,-1.4365835981138837,1.0,1.0,4.0,1.0,0.0,0.0,2025,1
Ethan Farina,9299000?year_stat_category_id=15687,Le Moyne,NEC,0.0,-1.2080969481019266,-0.1267434808975136,-0.0993808135334625,-1.4342212425329028,0.0,0.0,1.0,2.0,0.0,0.0,2025,1
Brooks Kettering,8875288?year_stat_category_id=15687,Southeast Mo. St.,OVC,0.0,-0.6158550112566932,-0.1152213462704669,-0.6994937751825159,-1.430570132709676,0.0,1.0,1.0,1.0,0.0,0.0,2025,1
Josh Livingston,8887515?year_stat_category_id=15687,Wichita St.,The American,0.0,-0.6184786861912998,-0.0921770770163735,-0.6994937751825159,-1.4101495383901892,0.0,1.0,1.0,1.0,0.0,0.0,2025,1
Parker Wight,9087297?year_stat_category_id=15687,UNC Greensboro,SoCon,0.0,-0.6184786861912998,-0.1728320194057004,-0.4988745887159784,-1.2901852943129786,1.0,1.0,2.0,1.0,0.0,0.0,2025,1
John Smith,9298389?year_stat_category_id=15687,South Alabama,Sun Belt,0.0,-1.2238389977095665,-0.1613098847786537,0.1012383729330748,-1.2839105095551453,1.0,0.0,2.0,2.0,0.0,0.0,2025,1
Three Hillier,9104656?year_stat_category_id=15687,High Point,Big South,33.33333333333333,-1.0238389977095663,-0.149787750151607,-0.0975232541338502,-1.2711500019950237,1.0,0.0,4.0,2.0,1.0,0.0,2025,1
Nevan Noonan,9217498?year_stat_category_id=15687,San Diego St.,Mountain West,33.33333333333333,-1.02121532277496,-0.1152213462704669,-0.0993808135334625,-1.2358174825788897,0.0,0.0,1.0,2.0,1.0,0.0,2025,1
Richie Bonomolo Jr.,9280211?year_stat_category_id=15687,Alabama,SEC,0.0,-0.0236130744114596,-0.1843541540327471,-0.9976362157829036,-1.2056034442271102,0.0,1.0,4.0,0.0,0.0,0.0,2025,1
Skylar King,8887167?year_stat_category_id=15687,West Virginia,Big 12,33.33333333333333,-1.01334429797114,-0.0806549423893268,-0.0993808135334625,-1.1933800538939294,0.0,0.0,1.0,2.0,1.0,0.0,2025,1
Tyler Shaw,9095766?year_stat_category_id=15687,Villanova,Big East,100.0,0.379010600523147,-0.0691328077622801,-1.4983683638984944,-1.1884905711376277,0.0,2.0,3.0,0.0,2.0,0.0,2025,1
Jakob Poturnak,9107143?year_stat_category_id=15687,Sacramento St.,WAC,0.0,-0.6158550112566932,-0.1613098847786537,-0.3975232541338502,-1.174688150169197,0.0,0.0,4.0,1.0,0.0,0.0,2025,1
Evan Janner,8877190?year_stat_category_id=15687,UTRGV,Southland,0.0,-1.20547327316732,-0.0576106731352334,0.1012383729330748,-1.1618455733694786,1.0,0.0,2.0,2.0,0.0,0.0,2025,1
Camden Troyer,8877033?year_stat_category_id=15687,Liberty,CUSA,0.0,-0.0104946997384265,-0.149787750151607,-0.9976362157829036,-1.157918665672937,0.0,1.0,4.0,0.0,0.0,0.0,2025,1
Dillon Baker,8896890?year_stat_category_id=15687,Miami (OH),MAC,0.0,-0.0157420496076397,-0.1382656155245603,-0.9976362157829036,-1.1516438809151035,0.0,1.0,4.0,0.0,0.0,0.0,2025,1
Rylen Stockton,9036043?year_stat_category_id=15687,UNC Asheville,Big South,0.0,-0.0104946997384265,-0.0921770770163735,-0.9976362157829036,-1.1003079925377035,0.0,1.0,4.0,0.0,0.0,0.0,2025,1
Seth Werchan,9114765?year_stat_category_id=15687,VCU,Atlantic 10,50.0,-0.8212153227749597,-0.1613098847786537,-0.0993808135334625,-1.081906021087076,0.0,0.0,1.0,2.0,2.0,0.0,2025,1
Keegan O'Connor,9093641?year_stat_category_id=15687,Kansas St.,Big 12,0.0,-0.0131183746730331,-0.1613098847786537,-0.898255402249441,-1.072683661701128,0.0,1.0,3.0,0.0,0.0,0.0,2025,1
Landon Scilley,9104557?year_stat_category_id=15687,Liberty,CUSA,0.0,-0.0183657245422463,-0.1382656155245603,-0.898255402249441,-1.0548867423162478,0.0,1.0,3.0,0.0,0.0,0.0,2025,1
Caleb Shpur,9101395?year_stat_category_id=15687,UConn,Big East,66.66666666666666,-0.2079839864528732,-0.1382656155245603,-0.6994937751825159,-1.0457433771599494,0.0,1.0,1.0,1.0,2.0,0.0,2025,1
Bobby Marsh,9106884?year_stat_category_id=15687,Miami (FL),ACC,0.0,-0.0104946997384265,-0.1152213462704669,-0.898255402249441,-1.0239714482583344,0.0,1.0,3.0,0.0,0.0,0.0,2025,1
