batter_id,batter_standardized,bat_team,wOBA_Overall,wOBA_vs LHP,wOBA_vs RHP,BA_Overall,BA_vs LHP,BA_vs RHP,PA_Overall,PA_vs LHP,PA_vs RHP,RE24_Overall,RE24_vs LHP,RE24_vs RHP,OBP_Overall,OBP_vs LHP,OBP_vs RHP,SLG_Overall,SLG_vs LHP,SLG_vs RHP,Year,Division
8873841.0,Dean Mihos,Coastal Carolina,0.49135,0.16057142857142856,0.96225,0.38461538461538464,0.25,0.6,20.0,7.0,8.0,-7.1530000000000005,0.7910000000000004,-3.3680000000000003,0.6,0.5714285714285714,0.75,0.6153846153846154,0.25,1.2,2025,1
8873842.0,Ely Brown,Mercer,0.40349999999999997,,0.40349999999999997,0.5,,0.5,12.0,,12.0,-6.684,,-6.684,0.5833333333333334,,0.5833333333333334,0.5,,0.5,2025,1
8873845.0,Marcus Aranda,ULM,0.31466666666666665,0.472,0.0,0.3333333333333333,0.5,0.0,3.0,2.0,1.0,-1.531,-0.9410000000000001,-0.59,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.0,2025,1
8873855.0,Chris Baillargeon,Holy Cross,0.14335714285714282,0.0,0.22299999999999998,0.15384615384615385,0.0,0.25,14.0,5.0,9.0,-8.245000000000001,-4.728,-3.5170000000000003,0.21428571428571427,0.0,0.3333333333333333,0.15384615384615385,0.0,0.25,2025,1
8873875.0,Dylan Johnson,Col. of Charleston,0.25749999999999995,0.472,0.1717,0.25,0.5,0.125,14.0,4.0,10.0,-5.688,-1.4430000000000003,-4.245,0.35714285714285715,0.5,0.3,0.3333333333333333,0.5,0.25,2025,1
8873880.0,Colby Wallace,East Carolina,0.6071666666666666,0.0,0.6623636363636364,0.18181818181818182,0.0,0.2,12.0,1.0,11.0,-5.8180000000000005,-0.928,-4.89,0.25,0.0,0.2727272727272727,0.5454545454545454,0.0,0.6,2025,1
8873931.0,Cal McGinnis,Evansville,0.24591666666666664,0.0,0.2682727272727272,0.2727272727272727,0.0,0.3,12.0,1.0,11.0,-11.643000000000002,-1.134,-10.509000000000002,0.3333333333333333,0.0,0.36363636363636365,0.2727272727272727,0.0,0.3,2025,1
8873942.0,Jackson Freeman,Northwestern,0.08878571428571427,0.0305,0.09849999999999999,0.09090909090909091,0.0,0.1,14.0,2.0,12.0,-8.951,-1.9440000000000002,-7.007000000000001,0.2857142857142857,0.5,0.25,0.09090909090909091,0.0,0.1,2025,1
8873980.0,Camden Gasser,Purdue,0.11844444444444442,0.02033333333333333,0.16749999999999998,0.14285714285714285,0.0,0.2,9.0,3.0,6.0,-4.04,1.1630000000000003,-5.202999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.0,0.2,2025,1
8873991.0,Aiden Robbins,Seton Hall,0.7500625,1.656,0.6896666666666665,0.5,1.0,0.4666666666666667,16.0,1.0,15.0,-0.1880000000000006,-0.8400000000000003,0.6519999999999992,0.5,1.0,0.4666666666666667,0.875,2.0,0.8,2025,1
