team_name,Years,iPF,PF,H,R,total_home_games,total_away_games
Lehman,2021-2024,1.5027621012629597,130.1657260757776,7.828571428571428,3.893617021276596,35.0,47.0
Southern Va.,2021-2024,1.3238625445881125,119.43175267528675,7.5,4.544303797468355,54.0,79.0
Knox,2021-2024,1.3103268434508046,118.61961060704829,6.15625,3.792682926829268,64.0,82.0
New Jersey City,2021-2024,1.2864636353086087,117.18781811851653,8.346938775510203,5.298969072164948,49.0,97.0
Brandeis,2021-2024,1.2716408986486378,116.29845391891827,6.780821917808219,4.387755102040816,73.0,49.0
Stevens,2021-2024,1.264409780965602,115.86458685793613,8.263157894736842,5.3977272727272725,76.0,88.0
Lancaster Bible,2021-2024,1.2623088520905794,115.73853112543478,9.295081967213115,6.0886075949367084,61.0,79.0
Wells,2021-2024,1.2618278419875457,115.70967051925274,6.945205479452055,4.552238805970149,73.0,67.0
Minn.-Morris,2021-2024,1.2501098425609594,115.00659055365756,9.090909090909092,6.052083333333333,44.0,96.0
Thomas (ME),2021-2024,1.2483671655625526,114.90202993375316,9.113636363636363,6.0813953488372094,44.0,86.0
CCNY,2021-2024,1.2453462676504738,114.72077605902844,8.0,5.36,27.0,75.0
Valley Forge,2021-2024,1.244601048759208,114.67606292555249,7.944444444444445,5.328125,54.0,64.0
St. Scholastica,2021-2024,1.2406316373792388,114.43789824275431,7.659574468085107,5.1647058823529415,47.0,85.0
Houghton,2021-2024,1.2300802156437785,113.8048129386267,7.178082191780822,4.910256410256411,73.0,78.0
Eureka,2021-2024,1.2239149378088667,113.434896268532,7.310344827586207,5.043478260869565,58.0,92.0
Rosemont,2021-2024,1.2215656562239976,113.29393937343985,8.0,5.537313432835821,41.0,67.0
Guilford,2021-2024,1.2144272986644098,112.8656379198646,9.026315789473685,6.310344827586207,76.0,58.0
Saint Elizabeth,2021-2024,1.2137767811961395,112.82660687176838,8.53125,5.96969696969697,32.0,99.0
Old Westbury,2021-2024,1.2077732730426922,112.46639638256153,8.25925925925926,5.828571428571428,54.0,70.0
Grinnell,2021-2024,1.2053564802891477,112.32138881734886,8.96,6.344827586206897,50.0,87.0
Albertus Magnus,2021-2024,1.2047950171037831,112.28770102622698,6.869565217391305,4.868421052631579,46.0,76.0
Wis.-Oshkosh,2021-2024,1.2014460426355196,112.08676255813117,9.338709677419354,6.65,62.0,100.0
Rochester (NY),2021-2024,1.1964284975131805,111.78570985079084,8.970149253731343,6.433734939759036,67.0,83.0
Lakeland,2021-2024,1.1957791000698146,111.74674600418888,7.32,5.255102040816326,50.0,98.0
Keene St.,2021-2024,1.182274738179888,110.93648429079327,6.297872340425532,4.611111111111111,47.0,90.0
Rockford,2021-2024,1.1814780725372376,110.88868435223425,7.290909090909091,5.344444444444444,55.0,90.0
Franklin,2021-2024,1.1810058856963062,110.86035314177838,10.377777777777778,7.6125,90.0,80.0
Greenville,2021-2024,1.1800598298867926,110.80358979320755,7.246376811594203,5.322916666666667,69.0,96.0
Ozarks (AR),2021-2024,1.17878888825797,110.72733329547819,7.517241379310345,5.532258064516129,58.0,62.0
Mitchell,2021-2024,1.1779604020440453,110.67762412264273,10.170731707317072,7.494252873563219,82.0,87.0
