player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
A. Angerstei,Fr.,ss,0.0,0.0,17.0,-,,,,,https://stats.ncaa.org/players/7814465,548690.0,2023,Austin,835.0,SCAC,3.0,16340.0,953.0,d3-playerid-2
A. Castellan,Jr.,C,0.0,0.0,15.0,-,,,,,https://stats.ncaa.org/players/7811217,548583.0,2023,Norwich,23257.0,Great Northeast,3.0,16340.0,511.0,d3-playerid-8
A. Jezek,---,rf,6.0,2.0,45.0,-,,,,,https://stats.ncaa.org/players/8019378,548690.0,2023,Austin,835.0,SCAC,3.0,16340.0,953.0,d3-playerid-19
A. Pitshone,So.,p,6.0,0.0,9.0,-,,,,,https://stats.ncaa.org/players/8015771,548758.0,2023,Centenary (NJ),30233.0,Atlantic East,3.0,16340.0,12884.0,d3-playerid-29
A.J. Bunnell,Jr.,P,0.0,0.0,30.0,-,LEFT,LEFT,"Westfield, IN",Westfield,https://stats.ncaa.org/players/7814429,548689.0,2023,Anderson (IN),9174.0,HCAC,3.0,16340.0,939.0,d3-playerid-40
A.J. Cook,Jr.,INF,39.0,38.0,11.0,-,,,,,https://stats.ncaa.org/players/7811510,548593.0,2023,Elms,23257.0,Great Northeast,3.0,16340.0,532.0,d3-playerid-41
A.J. Costantini,Fr.,OF,29.0,23.0,3.0,-,,,,,https://stats.ncaa.org/players/8016304,548802.0,2023,Valley Forge,21062.0,CSAC,3.0,16340.0,30166.0,d3-playerid-43
A.J. Johnson,Fr.,INF,4.0,0.0,30.0,-,,,,,https://stats.ncaa.org/players/8002089,548924.0,2023,Mary Washington,15810.0,C2C,3.0,16340.0,390.0,d3-playerid-47
A.J. Kisting,So.,C,4.0,4.0,23.0,-,RIGHT,RIGHT,,,https://stats.ncaa.org/players/7812382,548621.0,2023,St. Norbert,30097.0,NACC,3.0,16340.0,614.0,d3-playerid-49
A.J. Le,Fr.,UT,21.0,10.0,13.0,-,,,,,https://stats.ncaa.org/players/8017450,548762.0,2023,MSOE,30097.0,NACC,3.0,16340.0,20220.0,d3-playerid-50
A.J. Naha,Jr.,C,22.0,13.0,10.0,6-2,RIGHT,RIGHT,"Denver, CO",Mullen HS,https://stats.ncaa.org/players/7811304,548585.0,2023,Occidental,910.0,SCIAC,3.0,16340.0,516.0,d3-playerid-56
