"year","season_id","team_id","date","home_team","home_team_id","home_team_score","home_team_conference","home_team_conference_id","home_team_division","away_team","away_team_id","away_team_score","away_team_conference","away_team_conference_id","away_team_division","neutral_site","game_result","innings","slug","game_info_url","contest_id","division"
2024,16580,574722,"02/23/2024","Adrian",574722,9,"Michigan Intercol. Ath. Assn.",873,3,"Wheaton (IL) ",574581,5,"CCIW",836,3,"Birmingham, AL","W",NA,"/contests/4526632/box_score","https://stats.ncaa.org/contests/4526632/box_score",4526632,3
2024,16580,574722,"02/24/2024","Birmingham-So.",574691,12,"SAA",30169,3,"Adrian",574722,5,"Michigan Intercol. Ath. Assn.",873,3,NA,"L",NA,"/contests/4527157/box_score","https://stats.ncaa.org/contests/4527157/box_score",4527157,3
2024,16580,574722,"02/25/2024","Adrian",574722,6,"Michigan Intercol. Ath. Assn.",873,3,"LaGrange ",574626,4,"CCS",30251,3,"Birmingham, AL","W",NA,"/contests/4527284/box_score","https://stats.ncaa.org/contests/4527284/box_score",4527284,3
2024,16580,574722,"03/01/2024","Chapman",574762,5,"SCIAC",910,3,"Adrian",574722,3,"Michigan Intercol. Ath. Assn.",873,3,NA,"L",NA,"/contests/4528379/box_score","https://stats.ncaa.org/contests/4528379/box_score",4528379,3
2024,16580,574722,"03/01/2024","Chapman",574762,5,"SCIAC",910,3,"Adrian",574722,6,"Michigan Intercol. Ath. Assn.",873,3,NA,"W","12","/contests/4527925/box_score","https://stats.ncaa.org/contests/4527925/box_score",4527925,3
2024,16580,574722,"03/03/2024","Chapman",574762,3,"SCIAC",910,3,"Adrian",574722,2,"Michigan Intercol. Ath. Assn.",873,3,NA,"L",NA,"/contests/4528675/box_score","https://stats.ncaa.org/contests/4528675/box_score",4528675,3
2024,16580,574722,"03/04/2024","Pomona-Pitzer",574512,7,"SCIAC",910,3,"Adrian",574722,4,"Michigan Intercol. Ath. Assn.",873,3,NA,"L",NA,"/contests/4528780/box_score","https://stats.ncaa.org/contests/4528780/box_score",4528780,3
2024,16580,574722,"03/07/2024","Adrian",574722,8,"Michigan Intercol. Ath. Assn.",873,3,"Greensboro ",574800,2,"USA South",842,3,"High Point, NC","W",NA,"/contests/5251825/box_score","https://stats.ncaa.org/contests/5251825/box_score",5251825,3
2024,16580,574722,"03/08/2024","Adrian",574722,15,"Michigan Intercol. Ath. Assn.",873,3,"Maryville (TN) ",574841,5,"CCS",30251,3,"Greensboro, NC","W",NA,"/contests/5252444/box_score","https://stats.ncaa.org/contests/5252444/box_score",5252444,3
2024,16580,574722,"03/08/2024","Adrian",574722,9,"Michigan Intercol. Ath. Assn.",873,3,"Rochester (NY) ",574524,2,"Liberty League",24197,3,"High Point, NC","W",NA,"/contests/5252128/box_score","https://stats.ncaa.org/contests/5252128/box_score",5252128,3
