"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
"1",2024,"A&M-Corpus Christi","Southland",1,"30","Zach Garcia","Jr","P",15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","L/L",573989,914,8276229,"http://stats.ncaa.org/players/8276229?year_stat_category_id=15080"
"2",2024,"A&M-Corpus Christi","Southland",1,"28","Evans Hendricks","Sr","P",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","L/L",573989,914,8259958,"http://stats.ncaa.org/players/8259958?year_stat_category_id=15080"
"3",2024,"A&M-Corpus Christi","Southland",1,"5","Tucker McEnroe","So","OF",5,5,0.368,0.455,0.368,4,19,7,0,0,7,0,1,3,0,0,0,3,0,0,0,1,0,0,"6-2","R/R",573989,914,8260394,"http://stats.ncaa.org/players/8260394?year_stat_category_id=15080"
"4",2024,"A&M-Corpus Christi","Southland",1,"39","Matthew Molina","Fr","P",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",573989,914,8271054,"http://stats.ncaa.org/players/8271054?year_stat_category_id=15080"
"5",2024,"A&M-Corpus Christi","Southland",1,"43","Samuel Feltz","Sr","P",22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","R/R",573989,914,8281947,"http://stats.ncaa.org/players/8281947?year_stat_category_id=15080"
"6",2024,"A&M-Corpus Christi","Southland",1,"9","Chance Reisdorph","Jr","C",50,43,0.293,0.38,0.452,24,157,46,9,2,71,4,35,14,11,5,6,34,0,2,0,3,0,0,"6-3","R/R",573989,914,8282005,"http://stats.ncaa.org/players/8282005?year_stat_category_id=15080"
"7",2024,"A&M-Corpus Christi","Southland",1,"11","Matthew Watson","Jr","P",13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-5","R/R",573989,914,8279670,"http://stats.ncaa.org/players/8279670?year_stat_category_id=15080"
"8",2024,"A&M-Corpus Christi","Southland",1,"12","Cade Sanchez","Jr","INF",7,6,0.35,0.381,0.6,2,20,7,0,1,12,1,4,1,0,0,0,2,1,0,0,0,0,0,"5-9","R/R",573989,914,8425830,"http://stats.ncaa.org/players/8425830?year_stat_category_id=15080"
"9",2024,"A&M-Corpus Christi","Southland",1,"17","Maddox Thornton","Sr","P",22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/R",573989,914,8425833,"http://stats.ncaa.org/players/8425833?year_stat_category_id=15080"
"10",2024,"A&M-Corpus Christi","Southland",1,"1","Bryce Logan","Jr","INF",41,13,0.189,0.246,0.189,8,53,10,0,0,10,0,2,3,1,0,1,16,2,2,0,0,0,0,"5-7","R/R",573989,914,8425822,"http://stats.ncaa.org/players/8425822?year_stat_category_id=15080"
"11",2024,"A&M-Corpus Christi","Southland",1,"8","Stephen Hom","Jr","INF",43,28,0.272,0.342,0.379,11,103,28,9,1,39,0,22,7,5,2,1,27,0,1,0,1,0,0,"5-10","R/R",573989,914,8425824,"http://stats.ncaa.org/players/8425824?year_stat_category_id=15080"
"12",2024,"A&M-Corpus Christi","Southland",1,"7","Drake Kerr","Jr","OF",48,36,0.252,0.314,0.288,25,139,35,3,1,40,0,11,9,4,1,5,38,2,5,1,10,0,0,"6-1","R/R",573989,914,8425826,"http://stats.ncaa.org/players/8425826?year_stat_category_id=15080"
"13",2024,"A&M-Corpus Christi","Southland",1,"10","Josh Blount","Jr","OF",50,41,0.218,0.326,0.299,25,147,32,7,1,44,1,16,22,2,1,3,37,5,4,1,7,0,0,"5-11","L/L",573989,914,8425829,"http://stats.ncaa.org/players/8425829?year_stat_category_id=15080"
"14",2024,"A&M-Corpus Christi","Southland",1,"15","Joshua Flaugher","Jr","P",18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","R/R",573989,914,8425832,"http://stats.ncaa.org/players/8425832?year_stat_category_id=15080"
"15",2024,"A&M-Corpus Christi","Southland",1,"20","Logan Vaughan","Jr","C",53,44,0.236,0.374,0.41,28,144,34,7,0,59,6,26,33,1,4,0,38,3,1,1,2,0,0,"6-1","R/R",573989,914,8425837,"http://stats.ncaa.org/players/8425837?year_stat_category_id=15080"
"16",2024,"A&M-Corpus Christi","Southland",1,"24","Cam Soliz","Jr","P",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-10","R/R",573989,914,8425840,"http://stats.ncaa.org/players/8425840?year_stat_category_id=15080"
"17",2024,"A&M-Corpus Christi","Southland",1,"32","Jaxon McTyre","So","P",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-10","R/R",573989,914,8425850,"http://stats.ncaa.org/players/8425850?year_stat_category_id=15080"
"18",2024,"A&M-Corpus Christi","Southland",1,"41","Anthony Sendejas","Jr","P",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","L/L",573989,914,8425857,"http://stats.ncaa.org/players/8425857?year_stat_category_id=15080"
"19",2024,"A&M-Corpus Christi","Southland",1,"3","Isaac Webb","Jr","INF",56,55,0.339,0.396,0.456,45,239,81,10,3,109,4,30,23,1,2,2,37,2,9,3,19,1,0,"5-11","R/R",573989,914,8425823,"http://stats.ncaa.org/players/8425823?year_stat_category_id=15080"
"20",2024,"A&M-Corpus Christi","Southland",1,"40","Kendall Dove","Fr","UT",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-5","B/R",573989,914,8425855,"http://stats.ncaa.org/players/8425855?year_stat_category_id=15080"
"21",2024,"A&M-Corpus Christi","Southland",1,"2","Sebastian Trinidad","Sr","INF",55,55,0.32,0.392,0.409,35,203,65,14,2,83,0,38,24,4,6,7,26,5,1,1,5,0,0,"5-11","R/R",573989,914,8261272,"http://stats.ncaa.org/players/8261272?year_stat_category_id=15080"
"22",2024,"A&M-Corpus Christi","Southland",1,"33","Austin Dean","Sr","P",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",573989,914,8279511,"http://stats.ncaa.org/players/8279511?year_stat_category_id=15080"
"23",2024,"A&M-Corpus Christi","Southland",1,"23","Christian Smith-Johnson","So","OF",53,44,0.269,0.367,0.419,25,160,43,3,0,67,7,24,16,10,2,4,48,1,4,0,5,2,0,"6-1","R/R",573989,914,8279703,"http://stats.ncaa.org/players/8279703?year_stat_category_id=15080"
"24",2024,"A&M-Corpus Christi","Southland",1,"44","Jose Enriquez","Sr","INF",5,2,0,0.111,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,"6-0","L/L",573989,914,8284728,"http://stats.ncaa.org/players/8284728?year_stat_category_id=15080"
"25",2024,"A&M-Corpus Christi","Southland",1,"15","Jared Harris","Jr","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",573989,914,8279907,"http://stats.ncaa.org/players/8279907?year_stat_category_id=15080"
"26",2024,"A&M-Corpus Christi","Southland",1,"14","Cole Modgling","Sr","OF",52,38,0.333,0.383,0.407,23,150,50,6,1,61,1,20,10,4,3,6,31,0,1,2,6,0,0,"5-7","R/R",573989,914,8283864,"http://stats.ncaa.org/players/8283864?year_stat_category_id=15080"
"27",2024,"A&M-Corpus Christi","Southland",1,"18","David Stuart","Jr","P",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","R/R",573989,914,8425834,"http://stats.ncaa.org/players/8425834?year_stat_category_id=15080"
"28",2024,"A&M-Corpus Christi","Southland",1,"19","Mario Mendoza Jr.","Jr","INF",13,4,0.231,0.333,0.231,3,13,3,0,0,3,0,0,2,0,0,0,6,0,0,0,1,0,0,"5-10","R/R",573989,914,8425836,"http://stats.ncaa.org/players/8425836?year_stat_category_id=15080"
"29",2024,"A&M-Corpus Christi","Southland",1,"22","Garrett Gruell","Jr","OF",55,55,0.295,0.361,0.512,38,217,64,13,2,111,10,31,19,5,3,0,41,7,1,0,3,0,0,"5-11","R/R",573989,914,8425838,"http://stats.ncaa.org/players/8425838?year_stat_category_id=15080"
"30",2024,"A&M-Corpus Christi","Southland",1,"27","Joshua Munoz","Fr","UT",11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5-9","R/R",573989,914,8425844,"http://stats.ncaa.org/players/8425844?year_stat_category_id=15080"
"31",2024,"A&M-Corpus Christi","Southland",1,"29","Michael Schwarz","Jr","P",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/L",573989,914,8425847,"http://stats.ncaa.org/players/8425847?year_stat_category_id=15080"
"32",2024,"A&M-Corpus Christi","Southland",1,"31","Ethan Rivera","Sr","P",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","R/R",573989,914,8425849,"http://stats.ncaa.org/players/8425849?year_stat_category_id=15080"
"33",2024,"A&M-Corpus Christi","Southland",1,"13","Karson Krowka","Jr","INF",8,4,0,0.071,0,0,13,0,0,0,0,0,3,1,0,0,3,2,1,0,0,0,0,0,"5-11","R/R",573989,914,8425831,"http://stats.ncaa.org/players/8425831?year_stat_category_id=15080"
"34",2024,"A&M-Corpus Christi","Southland",1,"4","Mason Persons","Jr","INF",52,39,0.24,0.362,0.296,19,125,30,4,0,37,1,16,22,2,0,5,28,3,0,0,0,0,0,"5-10","R/R",573989,914,8425827,"http://stats.ncaa.org/players/8425827?year_stat_category_id=15080"
"35",2024,"A&M-Corpus Christi","Southland",1,"35","Riley Hunsaker","Jr","P",15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","R/R",573989,914,8425853,"http://stats.ncaa.org/players/8425853?year_stat_category_id=15080"
"36",2024,"A&M-Corpus Christi","Southland",1,"26","Aiden Huerta","Jr","P",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","R/R",573989,914,8425843,"http://stats.ncaa.org/players/8425843?year_stat_category_id=15080"
