"year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"A&M-Corpus Christi","Southland",1,"36","Adam Muirhead","Jr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","R/R",596471,914,9297810,"http://stats.ncaa.org/players/9297810"
2025,"A&M-Corpus Christi","Southland",1,"42","Luke Robertson","So","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-5","R/R",596471,914,9297819,"http://stats.ncaa.org/players/9297819"
2025,"A&M-Corpus Christi","Southland",1,"20","Easten Smith","Jr","P",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","R/R",596471,914,9297598,"http://stats.ncaa.org/players/9297598"
2025,"A&M-Corpus Christi","Southland",1,"1","Will Stark","Fr","INF",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5-11","L/R",596471,914,9300238,"http://stats.ncaa.org/players/9300238"
2025,"A&M-Corpus Christi","Southland",1,"14","Jarrett Flaggert","So","INF",4,4,0.154,0.214,0.462,1,13,2,1,0,6,1,1,1,0,0,0,3,0,0,0,0,0,0,"6-5","R/R",596471,914,9297594,"http://stats.ncaa.org/players/9297594"
2025,"A&M-Corpus Christi","Southland",1,"35","Tito Santos","Fr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/R",596471,914,9297806,"http://stats.ncaa.org/players/9297806"
2025,"A&M-Corpus Christi","Southland",1,"13","Tristan Crane","Fr","UT",5,0,0,0.333,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"5-11","B/R",596471,914,9297593,"http://stats.ncaa.org/players/9297593"
2025,"A&M-Corpus Christi","Southland",1,"16","Braden LaRusso","Jr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",596471,914,9297595,"http://stats.ncaa.org/players/9297595"
2025,"A&M-Corpus Christi","Southland",1,"17","Gage Burdick","Jr","P",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","L/L",596471,914,9297596,"http://stats.ncaa.org/players/9297596"
2025,"A&M-Corpus Christi","Southland",1,"18","JJ Bush","Jr","1B",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"6-0","L/R",596471,914,9297597,"http://stats.ncaa.org/players/9297597"
2025,"A&M-Corpus Christi","Southland",1,"26","Luke Singleton","Jr","P",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","L/L",596471,914,9297600,"http://stats.ncaa.org/players/9297600"
2025,"A&M-Corpus Christi","Southland",1,"29","Nathan Darden","Jr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",596471,914,9297603,"http://stats.ncaa.org/players/9297603"
2025,"A&M-Corpus Christi","Southland",1,"1","Chad Pantuso","Fr","UT",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"5-8","R/R",596471,914,9297584,"http://stats.ncaa.org/players/9297584"
2025,"A&M-Corpus Christi","Southland",1,"31","Michael Infranca","Jr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-9","L/L",596471,914,9297797,"http://stats.ncaa.org/players/9297797"
2025,"A&M-Corpus Christi","Southland",1,"41","Bryson Shea","Fr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/R",596471,914,9297818,"http://stats.ncaa.org/players/9297818"
2025,"A&M-Corpus Christi","Southland",1,"44","Jackson Smith","Jr","1B",5,5,0.278,0.263,0.333,1,18,5,1,0,6,0,2,0,0,1,0,6,0,0,0,0,0,0,"6-0","L/R",596471,914,9297821,"http://stats.ncaa.org/players/9297821"
2025,"A&M-Corpus Christi","Southland",1,"30","Zach Garcia","Sr","P",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","L/L",596471,914,8883766,"http://stats.ncaa.org/players/8883766"
2025,"A&M-Corpus Christi","Southland",1,"3","Isaac Webb","Sr","INF",5,5,0.222,0.3,0.278,2,18,4,1,0,5,0,0,2,0,0,1,7,0,0,0,2,1,0,"6-0","R/R",596471,914,8874720,"http://stats.ncaa.org/players/8874720"
2025,"A&M-Corpus Christi","Southland",1,"39","Matthew Molina","So","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","R/R",596471,914,8874779,"http://stats.ncaa.org/players/8874779"
2025,"A&M-Corpus Christi","Southland",1,"12","Cade Sanchez","Sr","INF",5,5,0.353,0.45,0.529,2,17,6,3,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0,"5-9","R/R",596471,914,8886909,"http://stats.ncaa.org/players/8886909"
2025,"A&M-Corpus Christi","Southland",1,"5","Karson Krowka","Sr","INF",5,2,0.25,0.25,0.5,0,4,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"6-0","R/R",596471,914,8888009,"http://stats.ncaa.org/players/8888009"
2025,"A&M-Corpus Christi","Southland",1,"19","Mario Mendoza Jr.","Sr","INF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-11","R/R",596471,914,8884184,"http://stats.ncaa.org/players/8884184"
2025,"A&M-Corpus Christi","Southland",1,"23","Christian Smith-Johnson","Jr","OF",5,5,0.067,0.222,0.067,1,15,1,0,0,1,0,0,2,1,0,0,7,0,0,0,0,0,0,"6-1","R/R",596471,914,8887177,"http://stats.ncaa.org/players/8887177"
2025,"A&M-Corpus Christi","Southland",1,"8","Stephen Hom","Sr","INF",3,0,0,0.333,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"5-10","R/R",596471,914,8889418,"http://stats.ncaa.org/players/8889418"
2025,"A&M-Corpus Christi","Southland",1,"10","Josh Blount","Sr","OF",5,5,0.188,0.278,0.188,0,16,3,0,0,3,0,1,1,1,0,0,5,0,0,0,0,0,0,"5-11","L/L",596471,914,8895544,"http://stats.ncaa.org/players/8895544"
2025,"A&M-Corpus Christi","Southland",1,"24","Cam Soliz","Sr","P",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-10","R/R",596471,914,8897161,"http://stats.ncaa.org/players/8897161"
2025,"A&M-Corpus Christi","Southland",1,"25","Dylan Hill","Sr","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","R/R",596471,914,8892633,"http://stats.ncaa.org/players/8892633"
2025,"A&M-Corpus Christi","Southland",1,"34","Dylan Snead","Fr","OF",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5-11","R/R",596471,914,8897306,"http://stats.ncaa.org/players/8897306"
2025,"A&M-Corpus Christi","Southland",1,"11","Logan Vaughan","Sr","C",2,2,0,0.286,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"6-1","B/R",596471,914,8898377,"http://stats.ncaa.org/players/8898377"
2025,"A&M-Corpus Christi","Southland",1,"9","Chance Reisdorph","Sr","C",4,3,0.091,0.091,0.091,0,11,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,"6-2","R/R",596471,914,8900805,"http://stats.ncaa.org/players/8900805"
2025,"A&M-Corpus Christi","Southland",1,"4","Mason Persons","Sr","INF",3,3,0,0.286,0,1,5,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,"5-11","R/R",596471,914,8900072,"http://stats.ncaa.org/players/8900072"
2025,"A&M-Corpus Christi","Southland",1,"15","Austin Russell","Sr","OF",5,3,0.286,0.333,0.357,0,14,4,1,0,5,0,2,1,0,0,0,1,1,0,0,0,0,0,"6-0","R/R",596471,914,9218914,"http://stats.ncaa.org/players/9218914"
2025,"A&M-Corpus Christi","Southland",1,"33","Trey Cruz","Sr","INF",3,3,0,0.222,0,1,7,0,0,0,0,0,0,2,0,0,0,3,1,1,0,1,0,0,"6-3","L/R",596471,914,9218915,"http://stats.ncaa.org/players/9218915"
2025,"A&M-Corpus Christi","Southland",1,"27","Dante Cano","So","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-3","L/L",596471,914,9218919,"http://stats.ncaa.org/players/9218919"
2025,"A&M-Corpus Christi","Southland",1,"22","David Dean","Sr","P",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-4","L/L",596471,914,9218920,"http://stats.ncaa.org/players/9218920"
