Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_id,player_url
1,2022,A&M-Corpus Christi,Southland,1,27,Sean Sieve,So,p,11,0,6.23,8.2,11,9,6,6,4,0,46,37,3,0,0,1,2,2,0,15,4,1,0,133,14,7,1,1,0,2,6-3,,526333,914,7593870?year_stat_category_id=14941,http://stats.ncaa.org/players/7593870?year_stat_category_id=14941
2,2022,A&M-Corpus Christi,Southland,1,32,Justin Lewis,Jr,P,4,0,20.25,1.1,3,4,3,5,1,0,13,7,1,0,1,0,2,1,0,4,2,0,0,51,1,2,0,0,0,0,-,,526333,914,7357161?year_stat_category_id=14941,http://stats.ncaa.org/players/7357161?year_stat_category_id=14941
3,2022,A&M-Corpus Christi,Southland,1,4,Diego Johnson,So,3B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7353530?year_stat_category_id=14941,http://stats.ncaa.org/players/7353530?year_stat_category_id=14941
4,2022,A&M-Corpus Christi,Southland,1,39,Brandon Petkoff,So,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7357761?year_stat_category_id=14941,http://stats.ncaa.org/players/7357761?year_stat_category_id=14941
5,2022,A&M-Corpus Christi,Southland,1,3,Tre Jones,So,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-4,L/L,526333,914,7332659?year_stat_category_id=14941,http://stats.ncaa.org/players/7332659?year_stat_category_id=14941
6,2022,A&M-Corpus Christi,Southland,1,26,Dylan Johnson,So,P,3,0,18.0,2.0,5,4,4,3,3,0,13,10,2,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,-,,526333,914,7332674?year_stat_category_id=14941,http://stats.ncaa.org/players/7332674?year_stat_category_id=14941
7,2022,A&M-Corpus Christi,Southland,1,44,Trevor Davis,Jr,OF,1,0,0.0,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,6-5,R/R,526333,914,7341434?year_stat_category_id=14941,http://stats.ncaa.org/players/7341434?year_stat_category_id=14941
8,2022,A&M-Corpus Christi,Southland,1,10,Brendan Ryan,Jr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7333967?year_stat_category_id=14941,http://stats.ncaa.org/players/7333967?year_stat_category_id=14941
9,2022,A&M-Corpus Christi,Southland,1,18,Leo Markotic,Jr,2B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526333,914,7342897?year_stat_category_id=14941,http://stats.ncaa.org/players/7342897?year_stat_category_id=14941
10,2022,A&M-Corpus Christi,Southland,1,2,Nick Mueller,So,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,R/R,526333,914,7347876?year_stat_category_id=14941,http://stats.ncaa.org/players/7347876?year_stat_category_id=14941
