"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"1",2024,"A&M-Corpus Christi","Southland",1,"30","Zach Garcia","Jr","P",15,13,4.94,82,99,55,45,23,64,0,376,337,16,1,1,10,5,9,1,2,0,3,4,0,78,94,4,3,0,24,"6-2","L/L",573989,914,8276229,"http://stats.ncaa.org/players/8276229?year_stat_category_id=15081"
"2",2024,"A&M-Corpus Christi","Southland",1,"28","Evans Hendricks","Sr","P",8,3,3.8,21.1,17,12,9,17,28,0,100,80,1,0,0,3,2,3,0,5,1,0,0,342,17,16,2,0,2,7,"6-0","L/L",573989,914,8259958,"http://stats.ncaa.org/players/8259958?year_stat_category_id=15081"
"3",2024,"A&M-Corpus Christi","Southland",1,"39","Matthew Molina","Fr","P",3,0,13.5,2,3,3,3,1,2,0,12,9,0,0,0,1,1,2,0,0,0,0,0,33,3,1,0,0,0,0,"6-0","R/R",573989,914,8271054,"http://stats.ncaa.org/players/8271054?year_stat_category_id=15081"
"4",2024,"A&M-Corpus Christi","Southland",1,"43","Samuel Feltz","Sr","P",22,3,8.17,25.1,34,25,23,7,13,0,124,103,7,1,0,3,2,9,0,12,6,1,4,320,25,35,2,2,0,2,"6-1","R/R",573989,914,8281947,"http://stats.ncaa.org/players/8281947?year_stat_category_id=15081"
"5",2024,"A&M-Corpus Christi","Southland",1,"33","Austin Dean","Sr","P",17,0,6.98,19.1,23,15,15,7,6,0,85,71,5,0,1,4,2,3,0,17,6,3,1,282,21,25,0,3,0,3,"6-0","R/R",573989,914,8279511,"http://stats.ncaa.org/players/8279511?year_stat_category_id=15081"
"6",2024,"A&M-Corpus Christi","Southland",1,"11","Matthew Watson","Jr","P",13,11,4.15,65,55,34,30,29,74,0,284,246,8,1,0,4,11,6,0,3,2,1,2,934,42,70,3,4,0,20,"6-5","R/R",573989,914,8279670,"http://stats.ncaa.org/players/8279670?year_stat_category_id=15081"
"7",2024,"A&M-Corpus Christi","Southland",1,"17","Maddox Thornton","Sr","P",22,2,6.11,45.2,57,39,31,18,33,0,212,182,8,2,1,4,6,7,0,15,8,1,4,740,62,32,1,3,6,13,"6-2","R/R",573989,914,8425833,"http://stats.ncaa.org/players/8425833?year_stat_category_id=15081"
"8",2024,"A&M-Corpus Christi","Southland",1,"18","David Stuart","Jr","P",10,1,9.6,15,26,18,16,10,14,0,85,69,4,1,0,5,2,2,0,10,5,1,3,321,6,25,1,1,0,3,"6-4","R/R",573989,914,8425834,"http://stats.ncaa.org/players/8425834?year_stat_category_id=15081"
"9",2024,"A&M-Corpus Christi","Southland",1,"27","Joshua Munoz","Fr","UT",5,0,3.38,2.2,5,3,1,4,3,0,17,12,0,1,0,0,2,1,0,7,5,0,0,51,1,3,0,0,0,1,"5-9","R/R",573989,914,8425844,"http://stats.ncaa.org/players/8425844?year_stat_category_id=15081"
"10",2024,"A&M-Corpus Christi","Southland",1,"29","Michael Schwarz","Jr","P",5,0,33.75,1.1,5,5,5,2,2,0,11,9,1,0,0,0,1,0,0,3,0,0,0,37,0,2,0,0,0,1,"6-2","R/L",573989,914,8425847,"http://stats.ncaa.org/players/8425847?year_stat_category_id=15081"
"11",2024,"A&M-Corpus Christi","Southland",1,"31","Ethan Rivera","Sr","P",6,0,16.88,2.2,2,7,5,8,2,0,18,10,0,1,0,1,0,0,0,10,1,0,0,74,1,4,0,0,0,1,"5-11","R/R",573989,914,8425849,"http://stats.ncaa.org/players/8425849?year_stat_category_id=15081"
"12",2024,"A&M-Corpus Christi","Southland",1,"15","Joshua Flaugher","Jr","P",18,2,12.23,17.2,24,27,24,22,16,0,105,76,3,0,1,2,4,5,0,13,6,2,0,316,19,16,0,3,0,2,"6-1","R/R",573989,914,8425832,"http://stats.ncaa.org/players/8425832?year_stat_category_id=15081"
