Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_url,player_id
1,2022,AUM,Gulf South,2,12,Mario Galloway,Jr,OF,16,2,0.182,0.308,0.545,3,11,2,1,0,6,1,2,1,1,0,0,3,0,0,0,0,0,0,5-10,R/R,526763,858,http://stats.ncaa.org/players/7356934?year_stat_category_id=14940,7356934?year_stat_category_id=14940
2,2022,AUM,Gulf South,2,17,Shelton Clevenger,Jr,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7354833?year_stat_category_id=14940,7354833?year_stat_category_id=14940
3,2022,AUM,Gulf South,2,26,Tommy Vickers,So,P,6,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,L/L,526763,858,http://stats.ncaa.org/players/7352411?year_stat_category_id=14940,7352411?year_stat_category_id=14940
4,2022,AUM,Gulf South,2,30,Corey Armstrong,Sr,INF,11,3,0.158,0.304,0.158,6,19,3,0,0,3,0,2,3,1,0,0,6,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7331312?year_stat_category_id=14940,7331312?year_stat_category_id=14940
5,2022,AUM,Gulf South,2,36,Blake Sheffer,So,P,3,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7347783?year_stat_category_id=14940,7347783?year_stat_category_id=14940
6,2022,AUM,Gulf South,2,22,Zach Feaster,Jr,UT,44,41,0.275,0.329,0.45,24,149,41,8,0,67,6,32,9,3,0,1,22,3,0,0,1,1,0,-,,526763,858,http://stats.ncaa.org/players/7341544?year_stat_category_id=14940,7341544?year_stat_category_id=14940
7,2022,AUM,Gulf South,2,5,Ethan Wells,Jr,OF,6,3,0.375,0.444,0.375,5,16,6,0,0,6,0,2,2,0,0,0,1,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7342974?year_stat_category_id=14940,7342974?year_stat_category_id=14940
8,2022,AUM,Gulf South,2,2,Joseph Hartsfield,Sr,INF,49,48,0.296,0.38,0.409,28,159,47,7,1,65,3,19,12,11,2,7,23,1,1,0,5,0,0,-,,526763,858,http://stats.ncaa.org/players/7332930?year_stat_category_id=14940,7332930?year_stat_category_id=14940
9,2022,AUM,Gulf South,2,20,Matthew Marfice,Sr,INF,21,16,0.291,0.375,0.455,10,55,16,3,0,25,2,10,5,3,1,0,9,2,1,0,1,0,0,-,,526763,858,http://stats.ncaa.org/players/7346673?year_stat_category_id=14940,7346673?year_stat_category_id=14940
10,2022,AUM,Gulf South,2,10,Will Collins,Jr,P,16,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,L/L,526763,858,http://stats.ncaa.org/players/7330748?year_stat_category_id=14940,7330748?year_stat_category_id=14940
11,2022,AUM,Gulf South,2,3,Sam Steigert,Sr,P,17,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7348564?year_stat_category_id=14940,7348564?year_stat_category_id=14940
12,2022,AUM,Gulf South,2,37,Jax Morris,Jr,P,19,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7345962?year_stat_category_id=14940,7345962?year_stat_category_id=14940
13,2022,AUM,Gulf South,2,1,Jackson Ceman,So,P,43,39,0.331,0.423,0.366,45,142,47,5,0,52,0,24,19,5,2,5,10,1,2,0,4,0,0,5-10,R/R,526763,858,http://stats.ncaa.org/players/7345005?year_stat_category_id=14940,7345005?year_stat_category_id=14940
14,2022,AUM,Gulf South,2,14,Jake Chase,Sr,P,12,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7336210?year_stat_category_id=14940,7336210?year_stat_category_id=14940
15,2022,AUM,Gulf South,2,11,Landon Pritchett,Jr,OF,3,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7348896?year_stat_category_id=14940,7348896?year_stat_category_id=14940
16,2022,AUM,Gulf South,2,35,Jaylon Thornton,Jr,OF,18,11,0.171,0.225,0.286,2,35,6,1,0,10,1,7,2,1,2,0,5,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7335013?year_stat_category_id=14940,7335013?year_stat_category_id=14940
17,2022,AUM,Gulf South,2,38,Jake Spivey,So,UT,15,5,0.304,0.429,0.435,3,23,7,3,0,10,0,3,4,1,0,0,8,0,0,0,0,0,0,6-2,R/R,526763,858,http://stats.ncaa.org/players/7556868?year_stat_category_id=14940,7556868?year_stat_category_id=14940
18,2022,AUM,Gulf South,2,32,Micah Christian,So,P,16,6,0.182,0.471,0.364,5,22,4,1,0,8,1,6,6,6,0,0,6,0,0,0,1,0,0,6-3,R/R,526763,858,http://stats.ncaa.org/players/7556805?year_stat_category_id=14940,7556805?year_stat_category_id=14940
19,2022,AUM,Gulf South,2,8,Cole Kehoe,Fr,INF,10,0,0.0,0.5,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6-3,L/R,526763,858,http://stats.ncaa.org/players/7556827?year_stat_category_id=14940,7556827?year_stat_category_id=14940
20,2022,AUM,Gulf South,2,9,Huell Lumpkin,Fr,P,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/L,526763,858,http://stats.ncaa.org/players/7556829?year_stat_category_id=14940,7556829?year_stat_category_id=14940
21,2022,AUM,Gulf South,2,16,Mason Elmore,Fr,P,21,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-8,L/L,526763,858,http://stats.ncaa.org/players/7556834?year_stat_category_id=14940,7556834?year_stat_category_id=14940
22,2022,AUM,Gulf South,2,19,Clayton Phillips,Fr,INF,47,44,0.293,0.359,0.373,25,150,44,5,2,56,1,23,14,3,3,2,37,4,2,0,1,0,0,6-2,R/R,526763,858,http://stats.ncaa.org/players/7556843?year_stat_category_id=14940,7556843?year_stat_category_id=14940
23,2022,AUM,Gulf South,2,28,Luke Turner,So,P,14,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,R/R,526763,858,http://stats.ncaa.org/players/7556858?year_stat_category_id=14940,7556858?year_stat_category_id=14940
24,2022,AUM,Gulf South,2,13,Jackson Gantt,Fr,P,7,0,0.2,0.333,0.2,4,5,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,5-11,R/R,526763,858,http://stats.ncaa.org/players/7556830?year_stat_category_id=14940,7556830?year_stat_category_id=14940
25,2022,AUM,Gulf South,2,4,Nick Freeman,Fr,OF,47,41,0.313,0.425,0.367,36,150,47,6,1,55,0,9,26,4,1,3,24,1,4,0,15,0,0,5-8,L/R,526763,858,http://stats.ncaa.org/players/7556826?year_stat_category_id=14940,7556826?year_stat_category_id=14940
26,2022,AUM,Gulf South,2,34,Clayton Ashberry,Fr,P,3,0,0.25,0.5,0.25,0,4,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,6-2,R/R,526763,858,http://stats.ncaa.org/players/7556863?year_stat_category_id=14940,7556863?year_stat_category_id=14940
27,2022,AUM,Gulf South,2,39,Clay Slagle,Fr,P,18,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,R/R,526763,858,http://stats.ncaa.org/players/7556864?year_stat_category_id=14940,7556864?year_stat_category_id=14940
28,2022,AUM,Gulf South,2,6,Caleb Beaver,Jr,UT,38,32,0.289,0.364,0.38,23,121,35,8,0,46,1,23,12,4,3,0,10,3,2,0,3,1,0,-,,526763,858,http://stats.ncaa.org/players/7556824?year_stat_category_id=14940,7556824?year_stat_category_id=14940
29,2022,AUM,Gulf South,2,18,Andrew Cronan,Jr,P,15,12,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,R/R,526763,858,http://stats.ncaa.org/players/7556836?year_stat_category_id=14940,7556836?year_stat_category_id=14940
30,2022,AUM,Gulf South,2,21,Zach Dew,Fr,INF,50,46,0.329,0.379,0.445,38,173,57,8,0,77,4,32,10,5,2,6,33,5,2,1,5,0,0,6-2,R/R,526763,858,http://stats.ncaa.org/players/7556844?year_stat_category_id=14940,7556844?year_stat_category_id=14940
31,2022,AUM,Gulf South,2,31,Kasey Clark,So,1B,49,46,0.285,0.386,0.4,25,165,47,13,0,66,2,31,23,6,3,2,18,3,2,0,1,1,0,6-2,L/R,526763,858,http://stats.ncaa.org/players/7556859?year_stat_category_id=14940,7556859?year_stat_category_id=14940
32,2022,AUM,Gulf South,2,33,Michael Myers,So,P,21,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-8,R/R,526763,858,http://stats.ncaa.org/players/7556861?year_stat_category_id=14940,7556861?year_stat_category_id=14940
33,2022,AUM,Gulf South,2,25,Brook Brannon,Jr,INF,18,15,0.308,0.345,0.365,10,52,16,3,0,19,0,7,4,0,2,0,13,1,0,0,0,0,0,6-0,R/R,526763,858,http://stats.ncaa.org/players/7556852?year_stat_category_id=14940,7556852?year_stat_category_id=14940
34,2022,AUM,Gulf South,2,15,Jordan Moore,Fr,INF,7,1,0.273,0.5,0.273,5,11,3,0,0,3,0,2,3,2,0,0,1,0,0,0,0,0,0,5-10,R/R,526763,858,http://stats.ncaa.org/players/7556833?year_stat_category_id=14940,7556833?year_stat_category_id=14940
35,2022,AUM,Gulf South,2,27,Brody Syer,Jr,OF,51,50,0.339,0.431,0.514,37,177,60,8,1,91,7,55,27,4,3,0,12,4,3,0,5,1,0,6-1,L/L,526763,858,http://stats.ncaa.org/players/7556854?year_stat_category_id=14940,7556854?year_stat_category_id=14940
36,2022,AUM,Gulf South,2,24,Jackson Murphy,Sr,C,22,10,0.31,0.396,0.381,7,42,13,3,0,16,0,3,6,0,0,1,12,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7556849?year_stat_category_id=14940,7556849?year_stat_category_id=14940
