Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_url,player_id
1,2022,AUM,Gulf South,2,12,Mario Galloway,Jr,OF,8,0,7.56,8.1,9,10,7,6,7,0,42,34,2,0,0,0,3,1,0,3,1,0,1,112,9,10,0,0,0,1,5-10,R/R,526763,858,http://stats.ncaa.org/players/7356934?year_stat_category_id=14941,7356934.0
2,2022,AUM,Gulf South,2,17,Shelton Clevenger,Jr,P,1,0,0.0,0.0,1,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7354833?year_stat_category_id=14941,7354833.0
3,2022,AUM,Gulf South,2,26,Tommy Vickers,So,P,6,1,5.4,6.2,6,7,4,4,4,0,33,26,1,0,0,1,0,1,0,4,0,1,1,56,8,8,0,0,0,3,5-11,L/L,526763,858,http://stats.ncaa.org/players/7352411?year_stat_category_id=14941,7352411.0
4,2022,AUM,Gulf South,2,30,Corey Armstrong,Sr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7331312?year_stat_category_id=14941,7331312.0
5,2022,AUM,Gulf South,2,36,Blake Sheffer,So,P,3,0,3.0,3.0,4,3,1,1,3,0,16,13,1,0,0,0,0,2,0,1,0,0,0,17,1,4,0,0,0,1,-,,526763,858,http://stats.ncaa.org/players/7347783?year_stat_category_id=14941,7347783.0
6,2022,AUM,Gulf South,2,22,Zach Feaster,Jr,UT,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7341544?year_stat_category_id=14941,7341544.0
7,2022,AUM,Gulf South,2,5,Ethan Wells,Jr,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7342974?year_stat_category_id=14941,7342974.0
8,2022,AUM,Gulf South,2,2,Joseph Hartsfield,Sr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7332930?year_stat_category_id=14941,7332930.0
9,2022,AUM,Gulf South,2,20,Matthew Marfice,Sr,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,526763,858,http://stats.ncaa.org/players/7346673?year_stat_category_id=14941,7346673.0
10,2022,AUM,Gulf South,2,10,Will Collins,Jr,P,16,6,12.3,26.1,36,38,36,30,20,0,146,105,6,1,0,9,4,5,0,10,6,1,5,493,25,29,2,3,0,4,5-10,L/L,526763,858,http://stats.ncaa.org/players/7330748?year_stat_category_id=14941,7330748.0
