year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
2025,Adrian,Michigan Intercol. Ath. Assn.,3,20,Daniel Shipman,So,UT,1,0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5-11,R/R,597209,873,d3d-8687083,http://stats.ncaa.org/players/8875736
2025,Adrian,Michigan Intercol. Ath. Assn.,3,17,Ryan Davis,Sr,UT,3,3,0.3,0.533,0.4,4,10,3,1,0,4,0,3,4,1,0,0,1,0,0,0,1,0,0,6-3,R/R,597209,873,d3d-7577026,http://stats.ncaa.org/players/8883992
2025,Adrian,Michigan Intercol. Ath. Assn.,3,15,Gavino Gomez,So,INF,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-8,R/R,597209,873,d3d-8596335,http://stats.ncaa.org/players/8884975
2025,Adrian,Michigan Intercol. Ath. Assn.,3,25,David Kedrow,Sr,C,3,3,0.462,0.5,0.462,4,13,6,0,0,6,0,5,1,0,0,0,1,0,0,0,1,0,0,6-2,R/R,597209,873,d3d-7577042,http://stats.ncaa.org/players/8874951
2025,Adrian,Michigan Intercol. Ath. Assn.,3,26,Easton Rogers,Sr,UT,2,2,0.125,0.222,0.125,0,8,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,6-0,R/R,597209,873,d3d-7123463,http://stats.ncaa.org/players/8875909
2025,Adrian,Michigan Intercol. Ath. Assn.,3,36,Broc Shoemaker,Jr,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-0,L/L,597209,873,d3d-8015120,http://stats.ncaa.org/players/8878912
2025,Adrian,Michigan Intercol. Ath. Assn.,3,29,Jaxon Clark,Jr,P,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,R/R,597209,873,8881182,http://stats.ncaa.org/players/8881182
2025,Adrian,Michigan Intercol. Ath. Assn.,3,8,Rolando Jimenez,So,INF,3,3,0.3,0.462,0.4,3,10,3,1,0,4,0,0,3,0,0,0,5,0,0,0,2,0,0,5-7,R/R,597209,873,d3d-8596336,http://stats.ncaa.org/players/8889346
2025,Adrian,Michigan Intercol. Ath. Assn.,3,35,Christian Oliver,So,INF,1,1,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6-0,R/R,597209,873,8878228,http://stats.ncaa.org/players/8878228
2025,Adrian,Michigan Intercol. Ath. Assn.,3,21,Lincoln Lipinski,Jr,P,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-1,R/R,597209,873,d3d-8015094,http://stats.ncaa.org/players/8889611
2025,Adrian,Michigan Intercol. Ath. Assn.,3,45,Daniel Gutierrez,Sr,P,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-8,R/R,597209,873,d3d-7577076,http://stats.ncaa.org/players/8885579
2025,Adrian,Michigan Intercol. Ath. Assn.,3,9,Jack Boike,Jr,OF,3,3,0.3,0.364,0.3,2,10,3,0,0,3,0,2,0,1,0,1,2,0,1,0,1,0,0,5-10,L/L,597209,873,d3d-8015111,http://stats.ncaa.org/players/8874445
2025,Adrian,Michigan Intercol. Ath. Assn.,3,11,Linken Hayward,Sr,UT,3,3,0.25,0.308,0.333,3,12,3,1,0,4,0,1,0,1,0,0,3,1,1,0,0,0,0,6-2,L/R,597209,873,d3d-7577019,http://stats.ncaa.org/players/8882439
2025,Adrian,Michigan Intercol. Ath. Assn.,3,46,Landon Kozlowski,So,P,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,R/R,597209,873,8876555,http://stats.ncaa.org/players/8876555
