Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
A&M-Corpus Christi,54,Southland,1696,152,5,24,50,1927,491,85,22,31,287,52,1,21,276.369686399068,-30.370901064341705,-12.216059560871527,2.6838532526176717,-2.229967969595633,368,27,278,54,2023,0.28950471698113206,0.4204009433962264,0.3622210690192008,,100.0,353,65.82278481012658,7.887908666320706,19.09704203425013,0.13089622641509435,88.95811337006,0.14893617021276595,0.36546896191966616,A&M-Corpus Christi,-24.970000000000013,6.396400000000005,6.072128686945717,0.9588579017264275,0.5987241980159244,1
Abilene Christian,59,WAC,1949,248,6,22,57,2282,562,92,18,66,388,81,11,16,381.7317559156393,-10.274513244913205,16.04134427267336,9.838329422436061,2.4125459051868994,430,22,350,59,2023,0.2883530015392509,0.45561826577732173,0.3825591586327783,,100.0,386,78.64077669902912,10.867659947414548,18.843120070113937,0.1672652642380708,102.16095572737443,0.17002629272567923,0.38836475770925105,Abilene Christian,19.131999999999987,14.932600000000003,11.01015697956454,0.9962739531582683,3.9782906784942345,1
Air Force,59,Mountain West,2095,254,9,29,72,2459,630,140,21,57,419,63,10,17,437.6360931206998,36.12100074495168,2.7505979285083875,9.400432827874509,5.571244791532112,467,22,385,59,2023,0.30071599045346065,0.46921241050119333,0.39243594957299716,,100.0,412,74.11764705882354,10.329402196014641,18.99145994306629,0.1684964200477327,107.78919033243159,0.170394469296462,0.3985817287996723,Air Force,22.49399999999999,11.735000000000001,11.939228447010487,0.8593257928587269,1.716826215285952,1
Akron,55,MAC,1794,247,1,12,62,2116,440,81,15,50,303,93,10,14,279.57490811874027,-73.83037297854527,-2.22011518873962,8.636504446591605,-4.019894146578508,503,29,266,55,2023,0.24526198439241917,0.3907469342251951,0.3544423440453686,,100.0,294,76.22950819672131,11.67296786389414,23.77126654064272,0.1454849498327759,80.29430598960685,0.14319470699432893,0.35481031220435194,Akron,-56.067000000000014,9.626800000000006,6.280543264976104,0.9503414264036418,3.8492897955803675,1
Alabama,64,SEC,2162,340,8,33,77,2620,634,100,12,112,488,47,3,21,508.02586572564,25.581049864882747,-4.392384924339195,13.001757931891232,2.3587438511052072,495,18,455,64,2023,0.29324699352451433,0.5060129509713228,0.40419847328244274,,100.0,410,72.3076923076923,12.977099236641221,18.893129770992367,0.21276595744680848,119.09458014113068,0.18625954198473282,0.41450537634408596,Alabama,88.00699999999999,14.8112,16.287097980665735,0.8436500661981873,1.2689961790194317,1
Alabama A&M,47,SWAC,1456,248,1,17,47,1769,365,71,18,19,269,117,15,22,247.03079097852248,-64.50868477096739,-6.618497642827179,1.0668654979985408,-3.663531329423785,421,34,240,44,2023,0.2506868131868132,0.3633241758241758,0.37365743357829284,,100.0,257,77.48344370860927,14.019219898247599,23.798756359525157,0.11263736263736263,79.21435207218335,0.1520633126059921,0.3620950764006791,Alabama A&M,-17.91000000000001,7.1776,4.904120760897591,0.9390114739629304,2.739662301420295,1
Alabama St.,59,SWAC,2099,269,5,36,59,2468,698,137,11,81,499,70,8,18,513.4361933141548,78.7954775709434,2.5951118527516885,4.278468045668763,8.283427258181726,353,15,465,59,2023,0.3325393044306813,0.5240590757503573,0.41774716369529985,,100.0,469,82.35294117647058,10.899513776337114,14.303079416531606,0.19151977131967596,126.68081245310194,0.20218800648298219,0.42804922701383236,Alabama St.,128.14,16.4382,17.932859844796415,0.8773373642369277,0.8036042225891968,1
Alcorn,46,SWAC,1495,188,3,16,50,1752,417,70,7,12,242,59,13,15,242.95647059712675,-65.58912664035557,-6.719954300415868,7.773160728018457,-2.7773283227967225,358,21,212,43,2023,0.27892976588628765,0.35919732441471575,0.3755707762557078,,100.0,328,73.75,10.730593607305936,20.4337899543379,0.0802675585284281,78.7950265551194,0.13812785388127855,0.3610143184421534,Alcorn,-61.82400000000001,2.7876000000000047,2.1136058428370013,0.887280510811203,1.0281288915948643,1
App State,55,Sun Belt,1918,256,4,24,111,2313,554,111,8,67,407,72,4,16,418.6083234679766,12.77592207761848,6.7123105708376745,6.446660619565003,2.4339902561778195,457,12,371,55,2023,0.28884254431699685,0.45985401459854014,0.3999135322092521,,100.0,368,85.71428571428571,11.067877215737138,19.75789018590575,0.1710114702815433,107.66217554087501,0.17596195417207092,0.402029934924078,App State,48.84699999999999,17.601,13.385654120121925,1.0045129270544784,4.136270711259995,1
Arizona,59,Pac-12,2137,252,7,38,81,2515,680,151,29,97,498,37,7,8,520.6167827914584,76.50087951315093,-17.877745093456106,4.607025811921993,4.729187266678126,445,17,465,59,2023,0.3182030884417408,0.5521759475900796,0.40556660039761433,,100.0,403,68.51851851851852,10.019880715705765,17.693836978131213,0.23397285914833882,129.76225786693365,0.19801192842942347,0.42686805277888845,Arizona,109.234,17.379600000000003,16.70893743305166,0.9187740728513261,2.2071383613643754,1
