Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
A&M-Corpus Christi,248,Southland,469.9,556,99,24,164,68,48,375,314,1.516662588728974,514,233,71,424,2277,5700,2022,6.014045541604597,41.46341463414634,7.182379229623324,8.120876782294106,10.649074271121517,4.462651628005959,0.9193445413917855,10.23276240667545,18.620992534036013,8.388230127360563,8.540925266903916,5.707141425347684,6.0300785983301175,,100.0,96.4533863736505,A&M-Corpus Christi,-23.439999999999998,-13.336400000000006,-11.527157109385115,1.0047139830508474,-1.7466702932191414,1
Abilene Christian,246,WAC,508.3,577,127,14,194,87,48,400,336,3.1375067461599135,421,267,76,588,2431,6844,2022,5.9492425732834935,44.84536082474227,7.082431634861302,10.411174503246114,10.21640763328743,4.727523116269919,0.8498917961833563,10.983134512546277,24.1875771287536,13.204442616207322,10.23454157782516,5.181422310305815,5.227412941581461,,100.0,97.56912915879667,Abilene Christian,-26.149999999999995,-12.691800000000004,-10.712411448636875,0.9336343366778149,-2.881561589203292,1
Air Force,248,Mountain West,529.2,645,149,26,140,69,67,442,387,1.7918563939814638,527,251,66,455,2524,6125,2022,6.581632653061224,49.28571428571429,7.517006802721088,7.738095238095238,10.96938775510204,4.2687074829931975,1.139455782312925,9.944532488114104,18.02694136291601,8.082408874801905,11.27946127946128,5.966356127756987,5.869830980973823,,100.0,86.68097561907308,Air Force,-55.044999999999995,-12.151200000000003,-13.271101552460287,0.8403474270730908,-1.1886321345009847,1
Akron,186,MAC,440.0,622,119,11,81,39,86,490,431,-3.509540526506572,518,263,86,314,2280,6213,2022,8.815909090909091,48.148148148148145,10.022727272727272,6.422727272727273,12.722727272727273,5.379545454545455,1.7590909090909093,11.535087719298245,13.771929824561404,2.2368421052631593,14.23841059602649,7.736181936868511,7.090096120227477,,100.0,48.21240110565776,Akron,-167.763,-15.627799999999993,-16.75159203249233,0.8391872011769033,-1.8709512785627744,1
Alabama,217,SEC,509.0,495,78,4,86,31,83,293,264,-2.956301156639264,462,197,47,540,2225,4819,2022,4.667976424361493,36.04651162790697,5.180746561886051,9.548133595284872,8.7524557956778,3.4833005893909625,1.4675834970530452,8.853932584269662,24.269662921348313,15.415730337078651,15.229357798165138,5.6791494310639035,5.037268262851592,,100.0,119.6292831694611,Alabama,78.00800000000001,-6.42480000000001,-5.950761620266429,0.9953065487160586,-0.5043350615427844,1
Alabama A&M,167,SWAC,406.40000000000003,555,95,16,102,47,53,420,350,0.7124906824271376,480,238,69,291,2086,2055,2022,7.750984251968504,46.07843137254902,9.301181102362204,6.444389763779527,12.290846456692913,5.270669291338582,1.173720472440945,11.409395973154362,13.950143815915627,2.540747842761265,9.943714821763603,6.772527677741811,6.887484536386545,,100.0,66.5477063633334,Alabama A&M,-122.80499999999999,-15.348199999999995,-16.168203970346344,0.9078469022017409,-0.7379505396013393,1
Alabama St.,209,SWAC,508.0,533,96,18,178,67,43,344,302,5.903886340516786,548,282,60,497,2364,4677,2022,5.350393700787402,37.640449438202246,6.094488188976378,8.80511811023622,9.44291338582677,4.996062992125984,0.7618110236220472,11.928934010152284,21.023688663282574,9.09475465313029,7.2758037225042305,5.4063859454583465,5.9118542285600615,,100.0,107.8797881639467,Alabama St.,27.008000000000003,-6.996800000000005,-7.265634277436608,1.0192613370733987,0.40105524798976333,1
Alcorn,154,SWAC,276.8,483,110,25,126,74,32,625,523,-4.522206141093353,393,392,108,185,1821,3468,2022,17.00505780346821,58.730158730158735,20.321531791907514,6.015173410404624,15.704479768786127,12.745664739884393,1.0404624277456647,21.526633717737507,10.159253157605711,-11.367380560131796,7.529411764705881,9.82826023429363,10.44474255045256,,100.0,-92.78397343157825,Alcorn,-368.228,-15.454399999999984,-16.850231345130354,0.5547822822822822,-11.006462160695296,1
App State,207,Sun Belt,462.20000000000005,502,118,19,123,40,59,369,308,-1.3283814839327581,514,275,50,430,2177,6926,2022,5.997403721332756,32.52032520325203,7.18520121159671,8.372998701860665,9.77498918217222,5.35482475118996,1.1488533102553007,12.632062471290768,19.751952227836473,7.119889756545705,10.296684118673648,6.151264939110751,6.203043088776697,,100.0,96.73991631789627,App State,-38.132,-10.407200000000003,-12.58086991653023,0.8949545850441708,0.9521234148445021,1
Arizona,287,Pac-12,565.0,600,95,15,140,68,54,374,320,-1.425935505117875,614,248,66,482,2586,6141,2022,5.097345132743363,48.57142857142857,5.9575221238938045,7.677876106194691,9.557522123893806,3.950442477876106,0.8601769911504424,9.590100541376643,18.638824439288477,9.048723897911835,8.08383233532934,5.4465399416955425,5.8360331632066105,,100.0,112.23664281738954,Arizona,41.486000000000004,-7.409800000000009,-7.099344813472336,1.0529158596944266,0.06193538348193428,1
Arizona St.,282,Pac-12,506.1,621,123,17,189,74,61,428,390,-4.433267491818434,501,272,69,456,2458,6520,2022,6.935388263189092,39.15343915343915,7.611144042679312,8.109069353882632,11.043272080616477,4.836988737403675,1.0847658565500888,11.065907241659886,18.55166802278275,7.485760781122863,10.85409252669039,6.0292083779239976,5.995120603935547,,100.0,80.59020107693506,Arizona St.,-57.294,-13.594600000000002,-11.085896162822138,0.9741419919246299,-2.8695642451014596,1
Ark.-Pine Bluff,163,SWAC,395.6,547,99,25,91,45,38,494,420,-0.09167116029026987,458,312,124,329,2140,2762,2022,9.55510616784631,49.45054945054945,11.238624873609705,7.484833164812942,12.444388270980788,7.098078867542972,0.8645096056622852,14.57943925233645,15.373831775700936,0.7943925233644862,7.661290322580645,7.134810027685681,7.616726302805796,,100.0,35.48530191928825,Ark.-Pine Bluff,-196.899,-17.835799999999992,-17.690192576108025,0.8645685909373061,-2.939518226436441,1
Arkansas,278,SEC,585.4,505,89,2,163,58,60,290,267,0.38483248463825415,461,285,63,674,2568,6000,2022,4.104885548343013,35.58282208588957,4.458489921421251,10.36214554151008,7.7639221045439015,4.3816194055346775,0.9224461906388794,11.098130841121495,26.246105919003114,15.147975077881618,11.516314779270633,5.056119353398001,4.952180934071909,,100.0,129.32428015148457,Arkansas,141.294,-1.1172000000000126,-2.5675275834688627,1.0291248516240423,1.48194501470961,1
Arkansas St.,239,Sun Belt,418.1,502,104,9,109,65,51,377,309,-1.5341125057642748,464,259,57,397,2073,5533,2022,6.651518775412581,59.63302752293578,8.115283425017937,8.54580243960775,10.806027266204257,5.575221238938052,1.097823487204018,12.493970091654607,19.150988904968642,6.6570188133140356,9.902912621359224,6.19707809046378,6.311578067295036,,100.0,85.47771381154294,Arkansas St.,-73.312,-13.47,-12.777917001823699,0.9787473697239758,-0.9845720905339963,1
Army West Point,216,Patriot,465.70000000000005,458,85,7,129,46,37,288,248,2.782348639833089,499,235,51,378,2121,5878,2022,4.792785054756281,35.65891472868217,5.565814902297616,7.30513205926562,8.851191754348292,4.541550354305347,0.7150526089757354,11.07967939651108,17.82178217821782,6.742102781706739,6.902985074626866,5.494879010677245,6.050729283084155,,100.0,117.48039504759382,Army West Point,50.84400000000001,-8.594200000000006,-6.275737563041242,0.9399907809824839,-2.867118062646168,1
Auburn,284,SEC,572.7,560,122,2,172,59,70,328,292,-0.1255389947823215,475,260,58,666,2557,5992,2022,4.588789942378208,34.30232558139535,5.154531168150863,10.466212676794132,8.800419067574646,4.085908852802514,1.1000523834468308,10.168165819319515,26.04614782948768,15.877982010168164,12.844036697247708,5.171933242486238,4.896540341106692,,100.0,120.9926735857175,Auburn,96.116,-3.3832000000000115,-3.8995343208647584,0.9752671109700624,0.43053596959782503,1
Austin Peay,227,OVC,477.3,610,104,9,111,47,88,463,430,-1.8156090062231487,516,277,49,456,2329,4463,2022,8.108108108108109,42.34234234234234,8.730358265241986,8.598365807668133,11.502199874292897,5.223130106851038,1.6593337523570082,11.893516530699872,19.579218548733362,7.68570201803349,14.56953642384106,6.778093351454344,6.12802471679678,,100.0,60.398939166174245,Austin Peay,-112.93599999999999,-19.2836,-16.073593627542667,0.8925976540257373,-5.530317062820824,1
