Team,Season,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,BA,SlgPct,OBPct,iPF,PF,1B,SB%,BB%,K%,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch,Division
AUM,2025,10,Gulf South,343,42,3,3,21,412,84,22,4,5,53,9,2,4,64.9857619598305,-3.902485749910867,-1.8645305174869695,15.812632183908049,0.36418974132201276,52,3,48,10,0.24489795918367346,0.3760932944606414,0.3640776699029126,1.098014172722218,105.88085036333308,53,75.0,10.194174757281553,12.62135922330097,0.13119533527696792,77.15877943771304,0.12864077669902912,0.3239581280788178,AUM,-220.23000000000002,1.5846000000000025,1.3851062576563598,1.2119626168224298,-0.07764018732939904,2
Adams St.,2025,12,RMAC,303,44,0,3,4,354,92,17,1,8,42,10,4,3,64.38082793334094,-5.6590736893910085,-0.10185955938926483,-1.8696091954022998,-0.50300674655236,73,3,41,12,0.30363036303630364,0.44554455445544555,0.3954802259887006,1.199167165989761,111.95002995938566,66,76.92307692307693,12.429378531073446,20.62146892655367,0.1419141914191419,100.95362467530676,0.11864406779661017,0.40411016949152545,Adams St.,-247.55900000000003,-1.2067999999999979,0.1283934855419318,1.1823356807511738,-1.1490850028894257,2
Alabama Huntsville,2025,11,Gulf South,269,54,0,5,22,350,82,23,2,5,71,12,2,9,59.59711961216684,2.4654333111924926,0.6409431126050269,16.936459770114944,1.3370584635968275,51,3,57,11,0.3048327137546468,0.46096654275092935,0.4514285714285714,1.059003183859652,103.54019103157913,52,80.0,15.428571428571427,14.571428571428571,0.15613382899628253,118.43023784704512,0.20285714285714285,0.36514285714285716,Alabama Huntsville,-162.71300000000002,3.336399999999999,2.5156621861979143,0.8074358974358975,1.616430541652195,2
Albany St. (GA),2025,9,SIAC,250,53,2,5,16,326,72,18,1,9,63,7,0,2,60.14135527500412,-1.1507084953948363,-0.13518433225305432,7.968178160919541,1.0621843089884442,46,4,58,9,0.288,0.476,0.4386503067484663,1.0031334483550194,100.18800690130116,44,63.63636363636363,16.257668711656443,14.11042944785276,0.188,118.70733268509133,0.19325153374233128,0.40737267080745343,Albany St. (GA),-141.24300000000002,3.7592,2.8844980576619137,1.1615942028985509,0.35174398850152944,2
Anderson (SC),2025,9,SAC,264,28,0,3,10,305,76,21,3,4,44,13,0,5,53.1195882268248,-1.769997354486164,0.0394353116454943,9.98728735632184,1.2991785739107329,44,7,39,9,0.2878787878787879,0.4356060606060606,0.3737704918032787,0.9684319844691,98.105919068146,48,65.0,9.180327868852459,14.426229508196723,0.1477272727272727,93.26248513257428,0.14426229508196722,0.3762590163934426,Anderson (SC),-181.418,0.6992000000000008,0.7463548235785693,0.6447743467933491,0.3380555650749595,2
Angelo St.,2025,12,Lone Star,362,69,0,8,33,472,148,36,2,10,133,33,3,6,96.62155867648167,-2.7791433094927065,1.0563071234721302,9.339454022988507,1.211834216397378,44,3,120,12,0.4088397790055249,0.6022099447513812,0.5296610169491526,1.1033713302277006,106.20227981366203,100,91.66666666666666,14.61864406779661,9.322033898305085,0.19337016574585636,170.3992158050097,0.2817796610169492,0.47957415254237284,Angelo St.,-119.94800000000001,4.210199999999997,3.9843466683773694,0.6118729096989967,2.8964939984714912,2
Ark.-Fort Smith,2025,9,Mid-America Intercollegiate,282,36,0,5,16,339,82,17,0,6,57,10,0,6,57.301863673785704,0.8969662982354023,0.7866476975748748,14.173287356321842,1.1054710373911751,58,2,49,9,0.2907801418439716,0.4148936170212766,0.3952802359882006,0.8941862641235321,93.65117584741192,59,83.33333333333334,10.619469026548673,17.10914454277286,0.12411347517730498,93.85275488646579,0.168141592920354,0.3635604719764012,Ark.-Fort Smith,-161.38400000000001,2.0478000000000005,1.8043859275609997,1.1966440422322775,-0.09310009173304912,2
Ark.-Monticello,2025,9,GAC,238,59,0,4,12,313,77,13,4,8,80,20,2,2,58.62807888949229,2.9938525410231307,3.1364358852672862,6.055609195402299,0.8408926917632219,41,3,71,9,0.3235294117647059,0.5126050420168067,0.4728434504792332,1.085174724189558,105.11048345137348,52,86.95652173913044,18.849840255591054,13.099041533546327,0.18907563025210078,135.6408284193263,0.25559105431309903,0.4229041533546326,Ark.-Monticello,-121.102,2.838399999999999,2.162493869005824,0.7815463165572575,1.4692806526927282,2
Arkansas Tech,2025,9,GAC,259,32,1,1,16,309,62,10,4,6,46,21,0,2,50.4264949818599,-3.702167697886347,0.47498716940281305,10.56294827586207,0.6067153391049609,72,2,38,9,0.23938223938223938,0.3783783783783784,0.3592233009708738,1.0599133183673937,103.59479910204361,42,91.30434782608695,10.355987055016183,23.300970873786408,0.13899613899613902,76.47590947765623,0.1488673139158576,0.343042345276873,Arkansas Tech,-187.66600000000003,0.9344000000000011,0.48239895376317327,1.089373601789709,0.3753416766917,2
Ashland,2025,3,G-MAC,83,17,0,1,4,105,21,6,0,2,16,5,1,0,16.994549526610868,0.4419575122276493,0.5789860682394226,2.826752873563219,0.6180058843140865,25,1,13,3,0.25301204819277107,0.39759036144578314,0.4,1.0552558690913318,103.3153521454799,13,83.33333333333334,16.19047619047619,23.809523809523807,0.14457831325301207,91.04726549204649,0.1523809523809524,0.33683809523809527,Ashland,-63.269000000000005,1.3518000000000008,0.4410171698038931,1.303525641025641,0.5960165159595694,2
