Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
AUM,58,Gulf South,106.8,141,22,4,27,10,18,99,87,0.02699068952561781,130,59,30,89,552,1663,2025,2,7.331460674157303,37.03703703703704,8.342696629213483,7.5,11.882022471910112,4.97191011235955,1.5168539325842696,10.68840579710145,16.1231884057971,5.434782608695652,12.162162162162163,7.607897921813075,6.9376556251309,105.88085036333308,88.99749556593379,AUM,225.0,-3.1655999999999995,-3.8485300284863575,1.0581114398422091,0.8567846595183499
Adams St.,36,RMAC,93.1,132,31,5,7,6,17,100,92,1.7116991570780695,91,43,11,86,461,1610,2025,2,8.893662728249195,85.71428571428571,9.66702470461869,8.313641245972073,12.76047261009667,4.156820622986037,1.6433941997851775,9.327548806941431,18.655097613882862,9.327548806941431,15.74074074074074,6.8499335888297335,5.7491960248291765,111.95002995938566,72.64496183315113,Adams St.,168.0,-3.8009999999999993,-4.572116256751351,0.9338143746462931,0.5017141477243525
Adelphi,16,NE10,35.2,43,12,0,7,1,3,30,28,0.3273655148885072,24,25,8,34,185,378,2025,2,7.159090909090908,14.285714285714285,7.670454545454545,8.693181818181817,10.99431818181818,6.392045454545454,0.7670454545454545,13.513513513513514,18.37837837837838,4.864864864864865,11.11111111111111,6.5721897161610485,6.30600600019193,105.45910890574709,91.17379902531238,Adelphi,79.625,-0.7174000000000004,-0.6359415613036148,0.7244397759103641,-0.35434089398879753
Alabama Huntsville,52,Gulf South,100.60000000000001,145,33,6,27,17,10,111,95,1.749333339135498,111,54,16,119,537,903,2025,2,8.49900596421471,62.96296296296296,9.930417495029822,10.646123260437374,12.972166998011927,4.831013916500994,0.8946322067594432,10.05586592178771,22.160148975791433,12.104283054003723,8.264462809917356,5.597469853518721,5.625181478930815,103.54019103157913,68.4112199111695,Alabama Huntsville,198.0,-3.7383999999999986,-3.1193005122889836,0.9672995780590717,-0.7454794222802623
Albany St. (GA),47,SIAC,104.5,116,21,4,22,9,3,80,57,2.9668873518720473,116,52,11,98,487,466,2025,2,4.909090909090909,40.909090909090914,6.889952153110048,8.440191387559809,9.990430622009569,4.478468899521531,0.2583732057416268,10.677618069815194,20.123203285420946,9.445585215605751,2.5210084033613445,4.889773448218465,5.766261008221498,100.18800690130116,121.45021035996102,Albany St. (GA),244.0,-2.1760000000000006,-0.888193328522704,1.0240650406504064,-1.2366717079968268
American Int'l,10,NE10,29.4,36,2,0,4,1,1,18,15,0.1998296277382323,40,12,8,18,143,469,2025,2,4.591836734693878,25.0,5.510204081632653,5.510204081632653,11.020408163265307,3.673469387755102,0.30612244897959184,8.391608391608392,12.587412587412588,4.195804195804197,2.4390243902439024,5.842056753885229,6.930295178064329,95.98086368430286,123.30598516438114,American Int'l,77.0,-0.5780000000000004,-0.6519127025380195,1.8891705069124423,0.3459583178569606
Anderson (SC),53,SAC,104.9,123,19,5,16,11,2,76,66,1.7025399055274284,106,55,14,113,510,1220,2025,2,5.662535748331744,68.75,6.52049571020019,9.69494756911344,10.552907530981887,4.718779790276454,0.17159199237368922,10.784313725490197,22.15686274509804,11.372549019607842,1.8518518518518516,4.65028357178112,5.532279117935058,98.105919068146,107.47151853079187,Anderson (SC),230.0,-0.5122000000000014,-0.34865614250687227,0.9724913494809689,-0.17803234708572835
Angelo St.,43,Lone Star,108.2,104,21,0,0,0,5,49,37,2.9430394677518157,93,48,11,115,480,1882,2025,2,3.077634011090573,0.0,4.075785582255083,9.565619223659889,8.65064695009242,3.9926062846580406,0.4158964879852126,10.0,23.958333333333336,13.958333333333336,5.1020408163265305,4.694459082654075,5.087685841534383,106.20227981366205,153.54389210463117,Angelo St.,282.918,0.8997999999999973,0.37815011951655586,0.8818100358422939,0.6422510592254388
Ark.-Fort Smith,29,Mid-America Intercollegiate,89.7,110,25,3,13,7,13,67,58,0.4073463916104344,105,37,11,82,423,798,2025,2,5.8193979933110365,53.84615384615385,6.722408026755853,8.22742474916388,11.036789297658864,3.712374581939799,1.3043478260869565,8.747044917257684,19.38534278959811,10.638297872340425,11.016949152542372,6.244645883182433,5.804239308737027,93.65117584741192,100.38505166459308,Ark.-Fort Smith,204.0,-1.964800000000002,-1.8918260603062285,1.2106905710491367,0.2689506146856486
Ark.-Monticello,39,GAC,94.9,77,17,1,11,5,9,46,38,1.7495058857919012,83,46,13,102,413,998,2025,2,3.6037934668071654,45.45454545454545,4.362486828240253,9.673340358271865,7.302423603793467,4.362486828240253,0.8535300316122233,11.138014527845035,24.69733656174334,13.559322033898306,9.782608695652174,5.5319200543160445,5.3629276077663075,105.11048345137348,145.03660523557,Ark.-Monticello,233.789,0.1013999999999974,-0.7252718800892884,1.0837262606417812,0.8188379434787171
