Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Payte Williams,8880873?year_stat_category_id=15688,R/R,AUM,Gulf South,3,3,4.09,11.0,13,9,5,5,17,2,2,0,3,57,8,8,242,0.0,13.909090909090908,4.090909090909091,1.6363636363636365,7.363636363636364,10.636363636363637,0.0,29.82456140350877,8.771929824561402,21.05263157894737,20.0,6.034372761445315,4.641069596312339,137.66031874082628,0.21765727643758756,Sr,0,0,,,,,2,2025
Ryan Slaten,8876068?year_stat_category_id=15688,R/R,AUM,Gulf South,2,1,11.25,4.0,8,5,5,1,1,2,1,0,0,20,5,5,77,0.0,2.25,2.25,4.5,11.25,18.0,0.0,5.0,5.0,0.0,28.57142857142857,11.32982730689986,6.697718714018881,28.52777159762736,-0.0444310215918166,Sr,0,0,,,,,2,2025
Jayce James,8882267?year_stat_category_id=15688,L/L,AUM,Gulf South,2,0,2.45,3.2,3,1,1,4,1,0,0,0,1,17,5,3,61,0.0,2.8125,11.25,0.0,2.8125,8.4375,0.0,5.88235294117647,23.52941176470588,-17.64705882352941,0.0,8.64232730689986,10.310087491827558,162.65715914792773,-0.01408717111706375,Sr,0,0,,,,,2,2025
Tyson Tubbs,9211952?year_stat_category_id=15688,L/R,AUM,Gulf South,3,0,21.6,1.2,5,6,4,1,1,1,1,0,1,12,2,2,53,0.0,7.5,7.5,7.5,45.0,37.5,100.0,8.333333333333332,8.333333333333332,0.0,33.33333333333333,18.74649397356653,10.581576936117509,-129.2266785325555,-0.048646657707000523,Jr,1,1,,,,,2,2025
Clay Slagle,8897279?year_stat_category_id=15688,R/R,AUM,Gulf South,3,3,4.8,15.0,18,8,8,6,11,1,1,0,0,66,21,10,227,0.0,6.6,3.6,0.6,4.8,10.799999999999999,0.0,16.666666666666664,9.090909090909092,7.575757575757573,4.545454545454546,5.17982730689986,5.878631533818659,126.83851588165433,0.39834569516783025,Sr,0,0,,,,,2,2025
Lucas Baggett,8897513?year_stat_category_id=15688,R/R,AUM,Gulf South,4,0,4.7,7.2,8,4,4,3,3,0,0,1,2,34,14,4,107,0.0,3.7499999999999996,3.7499999999999996,0.0,5.0,10.0,0.0,8.823529411764707,8.823529411764707,0.0,0.0,5.82982730689986,7.905262203698772,128.3627134674532,0.04228078934038751,Jr,4,0,,,,,2,2025
Carter Borden,9211955?year_stat_category_id=15688,R/L,AUM,Gulf South,3,0,0.0,3.2,4,0,0,3,2,0,0,0,0,16,5,2,68,0.0,5.625,8.4375,0.0,0.0,11.25,100.0,12.5,18.75,-6.25,0.0,6.14232730689986,7.810087491827558,200.0,0.015028626702077618,Jr,1,1,,,,,2,2025
Sellers Neuendorf,9211957?year_stat_category_id=15688,R/R,AUM,Gulf South,2,0,6.75,4.0,5,3,3,1,2,0,2,0,3,19,5,3,53,0.0,4.5,2.25,0.0,6.75,11.25,0.0,10.526315789473683,5.263157894736842,5.263157894736842,0.0,6.57982730689986,7.914035454842018,97.11666295857641,0.012319813396492811,Fr,0,0,,,,,2,2025
Charlie Bagwell,9211960?year_stat_category_id=15688,R/R,AUM,Gulf South,3,0,1.35,6.2,4,1,1,2,2,0,2,0,3,28,5,11,91,0.0,2.903225806451613,2.903225806451613,0.0,1.4516129032258065,5.806451612903226,0.0,7.142857142857142,7.142857142857142,0.0,0.0,6.354020855286957,7.21480030557222,179.42333259171528,0.024287556703424563,Jr,0,0,,,,,2,2025
Heath Henley,9211959?year_stat_category_id=15688,R/R,AUM,Gulf South,2,0,2.08,4.1,6,1,1,1,0,0,1,0,0,20,5,8,74,0.0,0.0,2.1951219512195124,0.0,2.1951219512195124,13.170731707317074,100.0,0.0,5.0,-5.0,0.0,5.3115346239730306,6.613201109770259,168.29669021538353,0.03213999709146964,Fr,3,3,,,,,2,2025
