Team,GP,Conference,AB,BB,IBB,SF,HBP,PA,H,2B,3B,HR,R,SB,Picked,Sac,wRC,Batting,Baserunning,Adjustment,WAR,K,CS,RBI,GS,Season,Division,PF,1B,SB%,BB%,K%,BA,SlgPct,OBPct,ISO,OPS+,R/PA,wOBA,bat_team,REA,WPA,WPA/LI,li,Clutch
Adrian,3,Michigan Intercol. Ath. Assn.,99,22,0,3,7,131,28,4,0,0,28,9,0,1,23.70162270546097,1.7221931507804566,1.259484682748052,0.5455,0.8514290281261109,23,2,22,3,2025,3,99.1022884351396,24,81.81818181818183,16.793893129770993,17.557251908396946,0.2828282828282828,0.32323232323232326,0.4351145038167939,0.04040404040404044,91.03009202783868,0.21374045801526717,0.3888702290076335,Adrian,-41.583999999999996,0.5453999999999996,0.7448873715208068,0.5224719101123596,0.2989964994469342
Albright,2,MAC Commonwealth,68,7,0,2,4,81,27,9,0,1,25,3,0,0,22.012357169441714,10.917994474900084,-0.4351671431008003,0.202,0.8937699191597213,7,1,22,2,2025,3,99.7974298751119,17,75.0,8.641975308641975,8.641975308641975,0.39705882352941174,0.5735294117647058,0.4691358024691358,0.1764705882352941,162.13401535192355,0.30864197530864196,0.47216049382716047,Albright,-16.173999999999996,0.8485999999999987,0.6487758363858361,0.4155,1.3935827677056167
Alfred St.,6,AMCC,193,41,0,8,12,254,52,17,0,5,60,7,1,1,48.582821158528546,-8.403049960142374,-2.197434332220402,0.667,0.7741335155205791,61,5,44,6,2025,3,107.06527174824508,30,58.333333333333336,16.141732283464567,24.015748031496063,0.2694300518134715,0.43523316062176165,0.41338582677165353,0.16580310880829013,113.47563772625024,0.23622047244094488,0.39835433070866144,Alfred St.,-71.10999999999999,3.247199999999998,2.447571090675401,0.9180512820512821,1.089486221356772
Alma,1,Michigan Intercol. Ath. Assn.,28,6,0,0,1,35,6,0,0,0,6,1,0,1,3.73003222199647,-2.413924604151748,0.6511217462296202,0.25075,0.2757460250335199,8,0,6,1,2025,3,103.60469990577684,6,100.0,17.142857142857142,22.857142857142858,0.21428571428571427,0.21428571428571427,0.37142857142857144,0.0,47.68494380814694,0.17142857142857143,0.3206857142857143,Alma,-14.586999999999998,0.06799999999999999,-0.018615086576201405,0.39166666666666666,0.19223210785279712
Alvernia,2,MAC Commonwealth,56,10,0,0,2,68,19,3,0,1,11,0,0,0,15.453431663337339,6.0537785599234555,-1.6653590368991782,0.35025,0.5706788940128542,7,1,10,2,2025,3,100.53011484543173,15,0.0,14.705882352941178,10.294117647058822,0.3392857142857143,0.44642857142857145,0.45588235294117646,0.10714285714285715,127.04760939471656,0.16176470588235295,0.4313529411764706,Alvernia,-30.173999999999996,0.6149999999999999,0.3983496785523959,1.1941666666666666,0.11665381063113511
Anderson (IN),2,HCAC,60,25,0,3,3,91,23,6,0,1,29,2,2,1,28.88194419158559,10.431368838578933,-0.01638504950263238,0.11799999999999998,1.6657508710079274,12,1,29,2,2025,3,105.8808218931983,16,66.66666666666666,27.472527472527474,13.186813186813188,0.38333333333333336,0.5333333333333333,0.5604395604395604,0.14999999999999997,175.2563121641039,0.31868131868131866,0.514,Anderson (IN),-11.174,2.094799999999999,0.9437480109158132,0.6020289855072464,2.53581867179964
Anna Maria,2,Great Northeast,53,8,1,1,3,66,12,3,0,0,10,5,0,2,8.39165010561366,0.9404289872270897,0.6992193630742227,0.61875,0.9669323744973874,11,0,10,2,2025,3,105.33438247189856,9,100.0,12.121212121212121,16.666666666666664,0.22641509433962265,0.2830188679245283,0.36363636363636365,0.05660377358490565,62.86501256997812,0.15151515151515152,0.330453125,Anna Maria,-31.174,0.33999999999999997,0.1768968773916147,0.7512048192771085,0.2757093776204141
Arcadia,2,MAC Freedom,64,8,1,0,2,75,12,2,0,2,8,3,1,1,6.246548249503262,-5.478113383620656,0.20897541911028167,0.64675,0.23459536675939913,16,0,7,2,2025,3,99.2492320749378,8,100.0,10.666666666666668,21.333333333333336,0.1875,0.3125,0.30666666666666664,0.125,55.77563942830881,0.10666666666666667,0.2956986301369863,Arcadia,-44.937999999999995,-0.1699999999999995,-0.16212844922637654,1.2758241758241757,0.028881248537315746
Asbury,1,CCS,33,4,0,1,4,42,8,1,0,0,5,2,0,0,5.433726779809068,-2.3756454456359837,-0.4085037503803986,0.17350000000000002,0.27939279192001854,12,0,5,1,2025,3,104.61507809747116,7,100.0,9.523809523809524,28.57142857142857,0.24242424242424243,0.2727272727272727,0.38095238095238093,0.030303030303030276,64.6876695990263,0.11904761904761904,0.34159523809523806,Asbury,-21.468999999999998,-0.11099999999999989,-0.006282856049415808,1.230902777777778,-0.08389485904226252
Augustana (IL),2,CCIW,61,12,0,0,4,77,14,3,0,0,8,4,1,5,10.734097060693216,-4.182660733492641,0.24640763031828994,0.4615,0.167040294173161,14,1,6,2,2025,3,103.8317349607672,11,80.0,15.584415584415584,18.181818181818183,0.22950819672131148,0.2786885245901639,0.38961038961038963,0.04918032786885243,68.37139064969972,0.1038961038961039,0.35079220779220777,Augustana (IL),-44.937999999999995,0.05000000000000021,0.028871732515850578,0.9059633027522935,0.026318140901871175
