Player,Pos,B/T,player_id,Team,Conference,Yr,R/PA,GP,BB,CS,GS,HBP,IBB,K,RBI,SF,AB,PA,H,2B,3B,HR,R,SB,OPS+,Picked,Sac,BA,SlgPct,OBPct,ISO,wOBA,K%,BB%,SB%,wRC+,wRC,Batting,Baserunning,Adjustment,WAR,Clutch,WPA,REA,WPA/LI,wSB,wGDP,wTEB,EBT,Opportunities,OutsOB,GDPOpps,GDP,Division,Season
Ryan Davis,UT,R/R,d3-playerid-30622,Adrian,Michigan Intercol. Ath. Assn.,Sr,0.26666666666666666,3,4.0,0.0,3,1.0,0.0,1.0,3.0,0.0,10.0,15.0,3.0,1.0,0.0,0.0,4.0,1.0,135.96993591931144,0.0,0.0,0.3,0.4,0.533,0.10000000000000003,0.29946666666666666,6.666666666666667,26.666666666666668,100.0,86.02515869584774,2.1590202193989807,-1.0244236415944803,0.023352191220069957,0.7259627618308766,0.06186572923583178,0.011025073202267935,0.0603999999999999,-5.865,0.0829522363601306,0.13067256384873713,-0.12652716402391473,0.019206791395247558,1.0,3.0,0.0,11.0,0.0,3,2025
David Kedrow,C,R/R,d3-playerid-10366,Adrian,Michigan Intercol. Ath. Assn.,Sr,0.2857142857142857,3,1.0,0.0,3,0.0,0.0,1.0,5.0,0.0,13.0,14.0,6.0,0.0,0.0,0.0,4.0,1.0,143.06991715011566,0.0,0.0,0.462,0.462,0.5,0.0,0.45271428571428574,7.142857142857142,7.142857142857142,100.0,113.1141508612733,2.656288965083201,-0.3149253051773628,0.25275939393192487,3.6181047323506594,0.34753015539401577,0.1656449012425478,0.2623999999999999,2.7669999999999995,0.186279804639805,0.13067256384873713,-0.1035222251104757,0.22560905519366342,2.0,4.0,0.0,9.0,0.0,3,2025
Easton Rogers,UT,R/R,d3-playerid-11960,Adrian,Michigan Intercol. Ath. Assn.,Sr,0.0,2,1.0,0.0,2,0.0,0.0,3.0,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.125933056535088,0.0,0.0,0.125,0.125,0.222,0.0,0.12422222222222223,33.33333333333333,11.11111111111111,0.0,55.047872313898814,0.8240433330739373,-1.0860229835221396,-0.15941545292882303,0.48397517455391775,0.02015699218511221,-0.03952407198558623,0.023399999999999893,-1.5799999999999996,0.069396412411118,-0.019807838900360822,-0.046009877826878084,-0.09359773620158414,0.0,1.0,0.0,4.0,0.0,3,2025
Jack Boike,OF,L/L,d3-playerid-15694,Adrian,Michigan Intercol. Ath. Assn.,Jr,0.18181818181818182,3,0.0,1.0,3,1.0,0.0,2.0,2.0,0.0,10.0,11.0,3.0,0.0,0.0,0.0,2.0,1.0,67.86320138019946,0.0,1.0,0.3,0.3,0.364,0.0,0.29445454545454547,18.181818181818183,0.0,50.0,85.13918530786887,1.5668041082924664,-0.7677213897694051,-0.12944206807527814,0.2927269200930954,0.03367907541926648,0.0657239316239316,0.027599999999999993,-2.9949999999999997,-0.015323931623931607,-0.4732317789317928,-0.06901481674031712,0.4128045275968317,2.0,2.0,0.0,6.0,0.0,3,2025
Linken Hayward,UT,L/R,d3-playerid-22969,Adrian,Michigan Intercol. Ath. Assn.,Sr,0.23076923076923078,3,0.0,1.0,3,1.0,0.0,3.0,1.0,0.0,12.0,13.0,3.0,1.0,0.0,0.0,3.0,0.0,61.84332489667463,0.0,0.0,0.25,0.333,0.308,0.08300000000000002,0.32276923076923075,23.076923076923077,0.0,0.0,90.14426332097433,1.9616868201517603,-0.7972978593759057,-0.1425430875385368,0.7259627618308766,0.06466874592261687,-0.052402458357287615,0.0161999999999999,-6.201,0.0742615288220551,-0.6633278594816123,0.4079802443462438,0.11280452759683171,1.0,2.0,0.0,8.0,1.0,3,2025
Brendan Willadsen,UT,L/L,d3-playerid-4918,Adrian,Michigan Intercol. Ath. Assn.,So,0.25,1,0.0,0.0,1,1.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,488.4764868426041,0.0,0.0,1.0,1.333,1.0,0.33299999999999996,1.049,0.0,0.0,0.0,218.51728301448276,1.4717737919194254,0.6228554289878356,0.14218309707771606,0.24198758727695888,0.1479934330467023,0.057267857142857106,0.0777999999999997,3.8920000000000003,0.053874999999999604,-0.029711758350541233,-0.03450740837015856,0.20640226379841586,1.0,1.0,0.0,3.0,0.0,3,2025
Nic Bruder,INF,R/R,d3-playerid-27088,Adrian,Michigan Intercol. Ath. Assn.,So,0.125,3,5.0,0.0,3,0.0,0.0,3.0,3.0,1.0,10.0,16.0,2.0,0.0,0.0,0.0,2.0,1.0,61.707876237060646,0.0,0.0,0.2,0.2,0.438,0.0,0.153625,18.75,31.25,100.0,60.24528824645221,1.6055649823818257,-1.7901084693445328,0.41694992742165415,0.7259627618308766,0.034922973226168615,0.07056889002147379,0.014200000000000101,-4.3870000000000005,-0.04837496816908579,0.13067256384873713,-0.12652716402391473,0.4128045275968317,2.0,2.0,0.0,11.0,0.0,3,2025
Zach Wade,C,R/R,d3-playerid-36487,Adrian,Michigan Intercol. Ath. Assn.,Jr,0.2,1,2.0,0.0,1,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.977628635346762,0.0,0.0,0.0,0.0,0.4,0.0,0.029599999999999998,0.0,40.0,0.0,38.321866047814794,0.3164058232824258,-0.7447421303820612,0.640584547071177,1.206034910783553,0.15597650552276773,-0.002222222222222036,-0.0013999999999998007,0.9829999999999999,-0.0016666666666662992,-0.019807838900360822,0.4539901221731219,0.20640226379841586,1.0,1.0,0.0,4.0,1.0,3,2025
Jake Burns,UT,R/R,d3-playerid-17209,Adrian,Michigan Intercol. Ath. Assn.,Fr,0.3333333333333333,2,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,70.04769574944075,0.0,0.0,0.0,0.0,0.667,0.0,0.06033333333333333,0.0,33.33333333333333,0.0,43.75447916805768,0.21739878386784162,-0.4192899883308506,0.17509195544133552,0.48397517455391775,0.08971667408420136,0.0,0.0,-1.7819999999999998,0.0,-0.019807838900360822,-0.011502469456719521,0.20640226379841586,1.0,1.0,0.0,1.0,0.0,3,2025
Caleb Walker,INF,L/R,d3-playerid-6165,Alfred St.,AMCC,Sr,0.5,2,1.0,0.0,2,1.0,0.0,2.0,1.0,0.0,8.0,10.0,1.0,0.0,0.0,0.0,5.0,1.0,7.759704527357525,0.0,0.0,0.125,0.125,0.3,0.0,0.12250000000000001,20.0,10.0,100.0,46.81677951794232,0.9104565957579178,-2.2454904380232827,-0.6489453513369527,0.48397517455391775,-0.02033475920398864,0.03704522758794593,0.2111999999999996,-2.495,0.2582246753246749,0.17028824164945877,-0.09201975565375617,-0.7272138373326553,0.0,1.0,1.0,8.0,0.0,3,2025
Conner Kiefer,INF,R/R,d3-playerid-8950,Alfred St.,AMCC,So,0.375,3,9.0,0.0,3,1.0,0.0,1.0,2.0,0.0,6.0,16.0,1.0,1.0,0.0,0.0,6.0,1.0,158.72207210025405,0.0,0.0,0.167,0.333,0.688,0.166,0.173375,6.25,56.25,100.0,55.80975758168495,1.7000061061116525,-3.3495091479382677,-0.006359567130471269,0.7259627618308766,0.017758330247431366,0.1001154383646645,0.28019999999999956,-6.438999999999999,0.21963230938308279,0.1009608054981959,-0.12652716402391473,0.019206791395247558,1.0,3.0,0.0,11.0,0.0,3,2025
Tyler Korsky,OF,R/R,d3-playerid-34697,Alfred St.,AMCC,Sr,0.3333333333333333,3,1.0,1.0,3,0.0,0.0,2.0,3.0,1.0,13.0,15.0,4.0,1.0,0.0,0.0,5.0,0.0,81.22794363553636,0.0,0.0,0.308,0.385,0.333,0.07700000000000001,0.34713333333333335,13.333333333333334,6.666666666666667,0.0,86.52434981871974,2.3727082050534936,-2.3612123456183065,-0.18055215156046,0.2927269200930954,0.037161831711865295,0.03420365780337009,0.15779999999999988,-0.1839999999999997,0.11544860773930629,-0.6732317789317928,-0.12652716402391473,0.6192067913952475,3.0,3.0,0.0,11.0,0.0,3,2025
Joshua Gardner,INF,R/R,d3-playerid-20683,Alfred St.,AMCC,Sr,0.2,3,3.0,1.0,3,4.0,0.0,4.0,4.0,0.0,8.0,15.0,2.0,0.0,0.0,0.0,3.0,1.0,115.51940905471506,0.0,0.0,0.25,0.25,0.6,0.0,0.18253333333333333,26.666666666666668,20.0,50.0,57.4286409382866,1.6348122098353226,-3.0991083408364775,-1.0802905250574564,0.7259627618308766,-0.05292419436505211,0.10329332133605634,0.3537999999999994,0.5139999999999992,0.3170631143075073,-0.5227513761826948,-0.14953210293735378,-0.4080070459374077,2.0,4.0,1.0,13.0,0.0,3,2025
Devin Mersmann,OF,R/R,d3-playerid-10868,Alfred St.,AMCC,Sr,0.2,3,3.0,1.0,3,0.0,0.0,4.0,4.0,1.0,11.0,15.0,2.0,1.0,0.0,0.0,3.0,1.0,53.20421482197703,0.0,0.0,0.182,0.273,0.333,0.09100000000000003,0.2178,26.666666666666668,20.0,50.0,63.662593954790914,1.7929114327881022,-2.941009117883698,-0.6818542097005722,0.2927269200930954,-0.04370168252046635,0.01114180973178533,0.0374000000000002,-3.191,0.053797097020626586,-0.4732317789317928,-0.11502469456719522,-0.09359773620158414,0.0,1.0,0.0,10.0,0.0,3,2025
Zach Young,1B,R/L,d3-playerid-36511,Alfred St.,AMCC,So,0.3333333333333333,3,2.0,0.0,3,0.0,0.0,2.0,4.0,0.0,13.0,15.0,6.0,1.0,0.0,1.0,5.0,0.0,228.29811388541313,0.0,0.0,0.462,0.769,0.533,0.307,0.8523333333333334,13.333333333333334,13.333333333333334,0.0,175.8266106109119,4.63750198867573,-0.0964185619960709,-0.08464862258488501,-3.6181047323506594,-0.07878437665202859,0.06027488642842099,0.1545999999999997,-1.1569999999999998,0.255354603174603,-0.059423516701082466,-0.13802963348063424,0.11280452759683171,1.0,2.0,0.0,12.0,0.0,3,2025
Elijah Barinas,INF,R/R,d3-playerid-12210,Alfred St.,AMCC,Sr,0.375,3,4.0,0.0,3,1.0,0.0,2.0,4.0,2.0,9.0,16.0,5.0,2.0,0.0,0.0,6.0,1.0,254.00487525120388,1.0,0.0,0.556,0.778,0.625,0.22199999999999998,0.4710625,12.5,25.0,100.0,108.43083192763841,3.1234968413178685,-1.9260184127320514,0.60194580231317,0.7259627618308766,0.1697316453641668,0.01829179058339392,0.2427999999999998,-1.31,0.27418239679710293,0.12076864439855672,-0.13802963348063424,0.6192067913952475,3.0,3.0,0.0,12.0,0.0,3,2025
Jordan Hughes,UT,L/L,d3-playerid-20020,Alfred St.,AMCC,Fr,0.2,3,1.0,0.0,3,0.0,0.0,2.0,7.0,2.0,12.0,15.0,4.0,2.0,0.0,1.0,3.0,0.0,172.55527414401092,0.0,0.0,0.333,0.75,0.333,0.417,0.772,13.333333333333334,6.666666666666667,0.0,161.62639627274987,4.277370488376865,-0.45655006229493544,-0.022028005870724315,0.7259627618308766,0.22388803300195076,0.3714400209155987,0.5303999999999998,4.54,0.2772506265664154,-0.019807838900360822,-0.11502469456719522,0.11280452759683171,1.0,2.0,0.0,10.0,0.0,3,2025
Griffin Murphy,C,0,d3-playerid-14424,Arcadia,MAC Freedom,Sr,0.25,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,27.472035794183448,0.0,0.0,0.0,0.0,0.5,0.0,0.037,0.0,50.0,0.0,39.48366219045107,0.2619710423677218,0.0089607585290154,-0.14791298347210352,1.206034910783553,0.09755000997574374,0.0021678384272369212,0.033999999999999996,-2.949,0.025587263613579398,-0.019807838900360822,-0.03450740837015856,-0.09359773620158414,0.0,1.0,0.0,3.0,0.0,3,2025
Kaileb Hackman,UT,R/R,d3-playerid-21423,Augustana (IL),CCIW,Fr,0.2,1,3.0,0.0,1,0.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,229.06118947408336,0.0,0.0,0.5,0.5,0.8,0.0,0.2532,0.0,60.0,0.0,73.13890362689575,0.6505361281240276,-0.15352040159649227,0.3322791776275357,0.24198758727695888,0.06881821841153725,0.054673382173382246,0.103,-2.3970000000000002,0.0883821733821733,-0.039615677800721644,0.46549259162984147,-0.09359773620158414,0.0,1.0,0.0,3.0,1.0,3,2025
Daniel Mosele,INF,R/R,d3-playerid-10020,Augustana (IL),CCIW,Sr,0.125,2,1.0,0.0,2,0.0,0.0,3.0,0.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.4836854927387835,0.0,1.0,0.143,0.143,0.25,0.0,0.13975,37.5,12.5,100.0,53.08478350244168,0.7696085521592333,-0.5168818953935985,0.029082077614457455,0.48397517455391775,0.017999841821347187,0.04765440115440117,0.09499999999999992,-5.288,0.0757222222222221,0.1801921610996392,-0.05751234728359761,-0.09359773620158414,0.0,1.0,0.0,5.0,0.0,3,2025
Grant Biggins,OF,L/R,d3-playerid-14185,Augustana (IL),CCIW,Sr,0.25,1,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,26.28898399878663,0.0,0.0,0.25,0.25,0.25,0.0,0.261,25.0,0.0,0.0,74.51767962487496,0.5297534691459644,-0.11349175463045141,-0.12650659456520358,0.09757564003103181,0.03304840600920057,-0.0032408114761055817,-0.032,-2.8659999999999997,-0.020288600288600304,-0.009903919450180411,-0.023004938913439042,-0.09359773620158414,0.0,1.0,0.0,2.0,0.0,3,2025
Tripp Thoms,INF,0,d3-playerid-34124,Austin,SCAC,Jr,0.0,4,0.0,0.0,3,0.0,0.0,4.0,1.0,0.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,124.28923558184506,0.0,0.0,0.444,0.444,0.444,0.0,0.464,44.44444444444444,0.0,0.0,107.75640260355519,1.7379704101809306,-0.029879758610416834,-0.17922329182918387,0.9679503491078355,0.07993986041565632,0.011999999999996652,0.0003999999999999,-2.485,0.0029999999999996,-0.039615677800721644,-0.046009877826878084,-0.09359773620158414,0.0,1.0,0.0,4.0,0.0,3,2025
