Team,App,Conference,IP_float,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,Division,IP,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch
Adrian,11,Michigan Intercol. Ath. Assn.,25.0,25,6,2,0,0,1,19,17,0.5296215250093395,24,16,5,19,120,398,2025,3,25.0,6.12,0.0,6.84,6.84,9.0,5.76,0.36,13.333333333333334,15.833333333333332,2.4999999999999982,4.0,6.431080907074898,6.763785164842447,99.1022884351396,103.04006256418221,Adrian,57.046,0.008599999999999906,-0.2890316026688079,0.7361458333333333,0.30071407047693005
Albright,4,MAC Commonwealth,15.0,14,3,0,0,0,0,4,2,0.4044756203307407,10,8,1,17,69,0,2025,3,15.0,1.2,0.0,2.4,10.2,8.4,4.8,0.0,11.594202898550725,24.637681159420293,13.043478260869568,0.0,4.444414240408231,5.012883745586597,99.7974298751119,181.12067438845713,Albright,42.935,0.41619999999999957,0.21183567596341712,0.6626506024096386,0.4162479604002186
Alfred St.,20,AMCC,49.0,58,14,4,0,0,5,43,41,0.7690626880808193,54,14,8,31,221,406,2025,3,49.0,7.530612244897959,0.0,7.8979591836734695,5.6938775510204085,10.653061224489797,2.571428571428571,0.9183673469387755,6.334841628959276,14.027149321266968,7.6923076923076925,8.47457627118644,6.319244172381021,6.01943909499909,107.06527174824508,89.56512343120761,Alfred St.,94.526,-2.1964,-1.6786500848217893,0.8776729559748428,-0.8238766081198086
Allegheny,3,PAC,9.0,10,4,0,0,0,1,4,3,0.17039147280398098,9,3,0,8,40,147,2025,3,9.0,3.0,0.0,4.0,8.0,10.0,3.0,1.0,7.5,20.0,12.5,10.0,5.577747573741565,5.080752304594396,95.7935329749904,150.82893084496493,Allegheny,24.161,0.15699999999999964,-0.07992764740133161,1.2347826086956522,0.20707553472527496
Alma,19,Michigan Intercol. Ath. Assn.,32.0,39,6,1,2,1,9,46,35,0.5017784713253725,37,27,6,34,167,467,2025,3,32.0,9.84375,50.0,12.9375,9.5625,10.96875,7.59375,2.53125,16.16766467065868,20.35928143712575,4.191616766467067,19.565217391304348,9.536080907074897,7.10559327761575,103.60469990577684,50.82168205381124,Alma,38.95,-0.9587999999999998,-1.0685570779488918,0.61159793814433,-0.4991395086503492
Alvernia,14,MAC Commonwealth,21.0,16,4,0,0,0,0,17,17,0.4008856286820277,25,29,6,23,110,283,2025,3,21.0,7.285714285714286,0.0,7.285714285714286,9.857142857142858,6.857142857142857,12.428571428571429,0.0,26.36363636363636,20.909090909090907,-5.454545454545453,0.0,7.720604716598707,8.735728832988647,100.53011484543173,86.21093076732026,Alvernia,48.709,0.04500000000000003,-0.535982133837197,1.2016891891891892,0.5734294208768371
Anderson (IN),12,HCAC,24.0,25,5,1,0,0,5,20,20,0.3467384803419767,16,13,3,31,112,0,2025,3,24.0,7.5,0.0,7.5,11.625,9.375,4.875,1.875,11.607142857142858,27.67857142857143,16.071428571428573,23.809523809523807,7.036080907074898,5.07386379928817,105.8808218931983,88.78367323051144,Anderson (IN),55.096000000000004,-0.39859999999999984,-0.7319052985470872,0.68189448441247,0.14735738224675332
Anna Maria,8,Great Northeast,20.333333333333332,12,3,1,0,0,0,11,9,0.4207576122866651,14,14,4,24,90,368,2025,3,20.1,3.9836065573770494,0.0,4.868852459016394,10.62295081967213,5.311475409836065,6.19672131147541,0.0,15.555555555555555,26.666666666666668,11.111111111111112,0.0,5.206162874288013,5.793270723898456,105.33438247189856,140.62127436571637,Anna Maria,53.838,0.2767999999999994,0.009279204945378816,0.6163043478260869,0.4398495428500347
Arcadia,10,MAC Freedom,25.0,20,5,0,8,5,0,13,13,0.39916973977114983,30,10,6,15,106,278,2025,3,25.0,4.68,62.5,4.68,5.3999999999999995,7.2,3.6,0.0,9.433962264150944,14.150943396226415,4.716981132075471,0.0,5.631080907074898,6.654326016395957,99.2492320749378,125.96394224692258,Arcadia,62.096,-0.09180000000000008,0.007325033626503975,0.9023622047244094,-0.10905801791969777
Asbury,4,CCS,8.0,14,2,1,0,0,2,7,7,0.07893031097090585,9,2,1,7,41,141,2025,3,8.0,7.875,0.0,7.875,7.875,15.75,2.25,2.25,4.878048780487805,17.073170731707318,12.195121951219512,18.181818181818183,7.536080907074898,5.4585492615052775,104.61507809747116,81.80996357818859,Asbury,18.032,-0.38899999999999996,-0.40669633045832704,0.8037037037037037,-0.07731288613153464
Augustana (IL),7,CCIW,17.0,12,2,0,0,0,2,7,5,0.2605867223700309,17,12,2,20,75,308,2025,3,17.0,2.6470588235294117,0.0,3.705882352941176,10.588235294117647,6.352941176470589,6.352941176470589,1.0588235294117647,16.0,26.666666666666668,10.666666666666668,10.526315789473683,6.55813973060431,5.981750371638629,103.8317349607672,159.972536592938,Augustana (IL),46.193,-0.0500000000000007,0.031233002627784858,1.0757246376811593,-0.07771329902387847
Aurora,5,NACC,16.0,17,3,2,0,0,1,10,10,0.24862320301465818,15,8,2,18,74,268,2025,3,16.0,5.625,0.0,5.625,10.125,9.5625,4.5,0.5625,10.81081081081081,24.324324324324326,13.513513513513516,6.25,5.348580907074898,5.388785164842447,99.7388339260066,111.45116984950918,Aurora,46.096,-1.1463999999999996,-0.8184250355079996,0.7692229038854806,-0.6719102030936215
Austin,42,SCAC,72.33333333333333,103,27,5,6,4,11,120,91,0.9802851817189043,63,63,19,71,401,1073,2025,3,72.1,11.322580645161292,66.66666666666666,14.930875576036868,8.83410138248848,12.815668202764979,7.838709677419355,1.3686635944700463,15.710723192019952,17.70573566084788,1.9950124688279267,14.864864864864865,8.3258274508537,7.221220746818657,106.48866004557864,33.05760183752178,Austin,108.417,-4.524999999999998,-3.176639344338857,0.511887026691496,-5.663201800389205
Averett,28,ODAC,67.0,90,15,2,12,6,7,59,58,-0.11093943095025902,105,30,11,42,327,0,2025,3,67.0,7.791044776119403,50.0,7.925373134328358,5.64179104477612,12.089552238805972,4.029850746268657,0.9402985074626865,9.174311926605505,12.844036697247708,3.669724770642203,6.25,6.851379414537584,6.918586531999756,95.02407451799596,71.26796358672888,Averett,148.464,-1.8104000000000011,-1.4343940854330068,1.1953111679454391,-0.080190608953985
Babson,2,NEWMAC,7.0,6,3,0,0,0,1,3,2,0.036884714093307236,12,2,1,4,30,83,2025,3,7.0,2.5714285714285716,0.0,3.8571428571428568,5.142857142857142,7.7142857142857135,2.571428571428571,1.2857142857142856,6.666666666666667,13.333333333333334,6.666666666666667,7.6923076923076925,6.911080907074898,6.637531671500346,98.38718867046396,158.9644270487155,Babson,18.903,-0.12220000000000011,-0.11864731102231103,0.3067708333333333,-0.2796956431372819
Baldwin Wallace,7,OAC,18.0,21,2,1,0,0,1,9,8,0.27770409088818854,14,7,4,16,86,266,2025,3,18.0,4.0,0.0,4.5,8.0,10.5,3.5,0.5,8.13953488372093,18.6046511627907,10.465116279069768,6.666666666666667,5.688858684852676,5.677223344103411,99.19369304597949,136.68588811945236,Baldwin Wallace,47.322,-0.0001999999999995998,-0.06333245018692527,0.5026836158192091,0.06293458561822698
Baruch,12,CUNYAC,27.666666666666664,41,6,8,5,2,2,34,34,-0.001538985940049517,24,15,6,14,140,190,2025,3,27.2,11.060240963855422,40.0,11.060240963855424,4.55421686746988,13.337349397590364,4.879518072289157,0.6506024096385543,10.714285714285714,10.0,-0.7142857142857135,7.6923076923076925,7.115900184183332,6.977477679434764,95.78889570654866,18.709932828760056,Baruch,57.802,-3.5149999999999992,-1.7517196371695,1.2873096446700507,-0.9787811514740328
Bates,11,NESCAC,22.333333333333332,32,3,0,0,0,1,24,23,0.1788788910640904,18,23,6,22,120,0,2025,3,22.1,9.268656716417912,0.0,9.671641791044776,8.865671641791046,12.895522388059703,9.268656716417912,0.4029850746268657,19.166666666666668,18.333333333333332,-0.8333333333333357,5.263157894736842,7.418543593642062,7.561889006966694,102.53408730622608,58.07035544301198,Bates,36.251,-1.890799999999999,-1.1734490034218,1.7640350877192983,0.10158823763363545
Belhaven,37,CCS,75.0,67,8,1,0,0,2,39,26,1.022312708974934,74,31,9,56,325,1218,2025,3,75.0,3.12,0.0,4.68,6.720000000000001,8.04,3.7199999999999998,0.24000000000000002,9.538461538461538,17.23076923076923,7.692307692307692,2.631578947368421,5.364414240408231,5.881821221612681,96.517739272709,149.2457936871274,Belhaven,192.546,-0.28340000000000043,-0.502309040799044,0.7592174567343867,0.12902995259289873
Benedictine (IL),6,NACC,17.0,18,2,2,0,0,0,11,9,0.3862111366225857,14,8,3,16,81,280,2025,3,17.0,4.764705882352941,0.0,5.8235294117647065,8.470588235294118,9.529411764705882,4.235294117647059,0.0,9.876543209876543,19.753086419753085,9.876543209876543,0.0,4.9699044364866625,5.6721314722952325,105.23353378274298,128.91032468428082,Benedictine (IL),42.193,-0.01799999999999988,-0.13792592744372834,0.7740740740740741,0.11467233892698209
Berea,13,HCAC,24.0,36,4,1,0,0,4,43,38,0.21755834633427307,10,24,9,20,145,0,2025,3,24.0,14.25,0.0,16.125,7.5,13.5,9.0,1.5,16.551724137931036,13.793103448275861,-2.7586206896551744,28.57142857142857,9.536080907074897,7.866825057439302,109.944299059136,-3.501088782494133,Berea,2.588,-0.6097999999999993,-0.9364214915493819,0.41206896551724137,-0.5434278808355538
Berry,53,SAA,91.0,125,24,0,3,3,5,95,87,1.4848390910709859,92,47,14,80,454,1271,2025,3,91.0,8.604395604395604,100.0,9.395604395604396,7.912087912087912,12.362637362637363,4.648351648351649,0.4945054945054945,10.352422907488986,17.62114537444934,7.268722466960355,5.154639175257731,5.878113874107865,6.072754676343604,105.14759307066012,71.51701388273439,Berry,180.352,-4.0296,-2.6707681266358483,0.8652944539736992,-1.9861437274674962
Bethany (WV),9,PAC,24.0,24,6,1,0,0,0,22,15,0.35746548069613665,33,17,8,18,123,219,2025,3,24.0,5.625,0.0,8.25,6.75,9.0,6.375,0.0,13.821138211382115,14.634146341463413,0.8130081300812986,0.0,6.536080907074898,7.7085492615052775,101.70823457490918,113.16576183202464,Bethany (WV),40.58,-0.21139999999999926,-0.49513189124851154,1.1227956989247312,0.3068518682644096
Bethany Lutheran,13,UMAC,27.0,26,10,2,2,1,4,21,21,0.4756415996677946,35,14,4,30,123,0,2025,3,27.0,7.0,50.0,7.0,10.0,8.666666666666666,4.666666666666666,1.3333333333333333,11.38211382113821,24.390243902439025,13.008130081300814,10.256410256410255,6.614784610778601,5.920542612739136,105.5562360378394,95.87890373491194,Bethany Lutheran,63.483,-1.529000000000001,-0.6387494012086957,1.030593607305936,-0.8448615868285229
Bethel (MN),7,MIAC,23.666666666666668,16,3,0,4,2,0,5,3,0.7133740227953997,24,5,0,23,90,43,2025,3,23.2,1.1408450704225352,50.0,1.9014084507042253,8.746478873239436,6.084507042253521,1.9014084507042253,0.0,5.555555555555555,25.555555555555554,20.0,0.0,3.6012217521453205,4.465935929036356,103.32523016475858,182.66416054430388,,,,,,
Brandeis,14,UAA,29.0,40,3,0,8,3,0,30,20,0.548792187868883,28,23,4,21,153,404,2025,3,29.0,6.206896551724138,37.5,9.310344827586208,6.517241379310345,12.413793103448278,7.137931034482759,0.0,15.032679738562091,13.725490196078432,-1.307189542483659,0.0,6.255908493281795,7.079209155953911,116.29845391891828,116.20364005273487,Brandeis,57.612,-1.4462000000000002,-1.1757407226441121,1.1538194444444445,-0.0776616246324453
Brevard,37,USA South,72.0,99,19,4,1,0,2,75,59,1.6573393925633193,80,46,15,51,376,958,2025,3,72.0,7.375,0.0,9.375,6.375,12.375,5.75,0.25,12.23404255319149,13.563829787234042,1.329787234042552,2.4390243902439024,6.39719201818601,7.007216311754607,98.21482881778893,82.10115562413185,Brevard,154.417,-4.367399999999999,-2.722555515200182,1.097741273100616,-1.2559775936662594
Bridgewater (VA),34,ODAC,61.0,73,16,4,3,0,3,45,37,0.9356891297828984,49,25,12,46,293,1037,2025,3,61.0,5.459016393442623,0.0,6.639344262295082,6.786885245901638,10.770491803278688,3.6885245901639347,0.4426229508196721,8.532423208191126,15.699658703071673,7.167235494880547,5.769230769230769,5.861900579206045,5.949451749761989,102.70667504169242,116.54731460850059,Bridgewater (VA),144.801,-2.4360000000000004,-2.007651702477901,1.2636363636363637,0.07988191830523861
Bridgewater St.,6,MASCAC,8.0,9,0,0,0,0,0,4,2,0.18452616079162015,8,3,0,6,36,129,2025,3,8.0,2.25,0.0,4.5,6.75,10.125,3.375,0.0,8.333333333333332,16.666666666666664,8.333333333333332,0.0,4.536080907074898,5.388785164842447,107.21004885254612,167.0487714192951,Bridgewater St.,21.032,-0.05999999999999978,-0.017792041292041073,0.7930232558139535,-0.05786778275487948
Buena Vista,9,American Rivers,26.333333333333332,22,2,1,0,0,3,15,14,0.47624932958995736,17,12,2,28,109,0,2025,3,26.1,4.784810126582279,0.0,5.126582278481013,9.569620253164558,7.518987341772152,4.101265822784811,1.0253164556962027,11.009174311926607,25.688073394495415,14.678899082568808,15.0,5.860447995682493,5.027058824366708,96.55131020019174,122.19076873117385,Buena Vista,53.838,-1.3819999999999997,-0.41396659347678144,1.566193853427896,-0.46842736878736924
CWRU,15,UAA,26.0,21,6,1,5,3,0,20,17,0.5661769095837464,18,15,8,41,123,178,2025,3,26.0,5.884615384615385,60.0,6.923076923076923,14.192307692307692,7.269230769230769,5.192307692307692,0.0,12.195121951219512,33.33333333333333,21.138211382113816,0.0,4.411080907074898,5.001414623990893,96.74129188566586,104.49397107002775,CWRU,61.354,-0.40900000000000014,-0.3963958517485009,0.9197154471544716,-0.048306910682438475
Cairn,5,United East,8.0,20,5,0,0,0,6,16,11,0.024536487544454193,9,3,1,12,50,172,2025,3,8.0,12.375,0.0,18.0,13.5,22.5,3.375,6.75,6.0,24.0,18.0,40.0,13.161080907074897,5.009901390389052,105.25304101484431,15.398535234264132,Cairn,9.031999999999998,-0.5563999999999996,-1.0864858076563917,0.28386243386243387,-0.873618572585918
Cal Lutheran,17,SCIAC,43.0,34,10,1,0,0,0,16,11,1.3832014938864061,30,12,5,57,183,626,2025,3,43.0,2.302325581395349,0.0,3.3488372093023253,11.930232558139535,7.116279069767441,2.511627906976744,0.0,6.557377049180328,31.147540983606557,24.59016393442623,0.0,3.4459646280051306,4.040874575284816,108.47294529389596,166.675020247984,Cal Lutheran,117.479,0.2125999999999985,0.3161645525942316,0.8542028985507246,-0.0672775488616239
Caltech,20,SCIAC,52.0,65,14,3,0,0,2,48,40,1.089011655386387,71,28,22,41,271,685,2025,3,52.0,6.923076923076923,0.0,8.307692307692308,7.096153846153846,11.25,4.846153846153846,0.34615384615384615,10.33210332103321,15.129151291512915,4.797047970479705,2.73972602739726,6.7187732147672055,7.415838807402419,110.53702097615614,101.66321877596731,Caltech,114.708,-1.7738000000000016,-1.403683927929398,0.9835311572700296,-0.39981765601991737
